iter,ULA,dilation,tempering,diffusion,daz_scale1,daz_scale2
0,0.5001866817474365,0.5001866817474365,0.5001866817474365,0.5001866817474365,0.5001866817474365,0.5001866817474365
100,0.4033719003200531,0.4986143112182617,0.2201944440603256,0.2092365771532058,0.2195673286914825,0.2146516144275665
200,0.3385438919067383,0.4959414005279541,0.2207670956850052,0.2119382619857788,0.2216881811618805,0.2137527018785476
300,0.2930217385292053,0.4900023639202118,0.2182224839925766,0.2130050659179687,0.2209482640028,0.2134658843278885
400,0.2650969922542572,0.4816828668117523,0.2159599363803863,0.2153760194778442,0.2191198915243148,0.2160735577344894
500,0.2456103414297104,0.4646665751934051,0.2180081456899643,0.2144853621721267,0.2179813683032989,0.2158243656158447
600,0.2322384417057037,0.4422820210456848,0.217960312962532,0.2151579707860946,0.2179088145494461,0.2147886753082275
700,0.2301801294088363,0.4075438678264618,0.2159539312124252,0.2151806354522705,0.2153076380491256,0.2114313095808029
800,0.2255704253911972,0.3620365560054779,0.2153729945421219,0.2187602967023849,0.2175315618515014,0.2075351774692535
900,0.2241507321596145,0.3241773247718811,0.2115790396928787,0.214714914560318,0.2174722254276275,0.2076165676116943
1000,0.2207662612199783,0.2931185364723205,0.2143719494342804,0.2131037563085556,0.2128987610340118,0.2079582214355468
1100,0.2185454368591308,0.2672128081321716,0.2162622511386871,0.2112392038106918,0.2160328477621078,0.2088542431592941
1200,0.2208583205938339,0.2487872689962387,0.214782640337944,0.2088408917188644,0.2191739082336425,0.2099698036909103
1300,0.2216914892196655,0.237715795636177,0.2173751443624496,0.2078936398029327,0.2171509712934494,0.2061551809310913
1400,0.2240877598524093,0.2289090901613235,0.216481328010559,0.2093225568532943,0.2198595106601715,0.2060124725103378
1500,0.2223550379276275,0.222161129117012,0.2152260839939117,0.2119005173444748,0.2194556295871734,0.2097373455762863
1600,0.2234279662370681,0.217592105269432,0.2143219709396362,0.209648922085762,0.2167599201202392,0.2107473462820053
1700,0.2217345684766769,0.2164396792650222,0.2135503590106964,0.2115973532199859,0.2158588618040084,0.2114168256521225
1800,0.2197988331317901,0.2164434939622879,0.2132984846830368,0.2080948799848556,0.2179968357086181,0.2089443206787109
1900,0.21510910987854,0.2134411782026291,0.21394844353199,0.2083934396505355,0.2177807390689849,0.2083493322134018
2000,0.2142766267061233,0.2151670306921005,0.2169938534498214,0.2098389714956283,0.2134336978197097,0.2083409875631332
2100,0.2164222002029419,0.2173366993665695,0.217013344168663,0.209177479147911,0.2102725356817245,0.2117539644241333
2200,0.2159878313541412,0.2158151715993881,0.2145552635192871,0.2085329592227935,0.2108394205570221,0.2096295654773712
2300,0.2152320891618728,0.2173877954483032,0.2130914032459259,0.2066082507371902,0.2077869921922683,0.2093409746885299
2400,0.2185064852237701,0.2155304700136184,0.2121812403202057,0.2070543617010116,0.2091013938188552,0.2102547436952591
2500,0.2164161205291748,0.2204708904027938,0.2123671025037765,0.2077217847108841,0.2093361467123031,0.2098971158266067
2600,0.2175743132829666,0.216510459780693,0.2109314501285553,0.2120717316865921,0.2108986675739288,0.2111510038375854
2700,0.2152088433504104,0.2138816565275192,0.2125250399112701,0.2154006063938141,0.214003786444664,0.2118552774190902
