iter,KL_gt,ULA,dilation,tempering,diffusion,DAZ
0,0.81269324,9.038930296897888,,6.343095397949218,5.973629283905029,5.425419902801513
50,0.8165922,3.3271860599517824,,5.79270372390747,3.0114866733551025,2.6449680805206297
100,0.8195335,2.3779274940490724,,5.455401420593262,2.279967451095581,2.1237742424011232
150,0.8168057,2.239600944519043,,5.250699901580811,1.9249994277954101,1.8482150316238404
200,0.81697243,2.1829599380493163,,5.108046150207519,1.7094194412231445,1.6886056423187257
250,0.82098705,2.1602081775665285,,4.947177410125732,1.556391143798828,1.6259318828582763
300,0.8197611,2.158778667449951,,4.7943517684936525,1.4720364093780518,1.5241799831390381
350,0.8177028,2.143640661239624,,4.588617324829102,1.3659090280532837,1.4906692028045654
400,0.8150285,2.13844690322876,,4.416431522369384,1.3205799341201783,1.4386661529541016
450,0.80794096,2.135217237472534,,4.24636697769165,1.2769609451293946,1.4111262559890747
500,0.81603986,2.123318672180176,20.562498092651367,4.0743719100952145,1.2253609418869018,1.3338987350463867
550,0.82036084,2.121126317977905,20.582091331481934,3.9130272388458254,1.202411150932312,1.3223979949951172
600,0.8170934,2.1123053550720217,20.58895874023437,3.7635219573974608,1.171192479133606,1.3003769874572755
650,0.8159731,2.1249380111694336,19.609048461914064,3.5603561401367188,1.1599617719650268,1.2953850269317626
700,0.8184139,2.1095160484313964,18.952992630004882,3.45227632522583,1.1321096420288086,1.268549346923828
750,0.8100909,2.1107688426971434,18.51393051147461,3.3044925212860106,1.089538049697876,1.273705291748047
800,0.81903344,2.104775619506836,17.973664474487304,3.186246919631958,1.0918370723724364,1.236668634414673
850,0.81537515,2.103940963745117,17.354605865478515,3.0817688465118414,1.070789361000061,1.218327569961548
900,0.81390464,2.113301229476929,17.155539321899415,2.943172025680542,1.0548290252685546,1.1789222478866577
950,0.81721294,2.107019472122192,16.86845474243164,2.8504435539245607,1.0445728063583375,1.1560520648956298
1000,0.8185452,2.1074233531951903,16.276818466186523,2.7644093513488768,1.0382014989852906,1.1565951824188232
1050,0.81002253,2.1027142047882084,16.204319381713866,2.6639832496643066,1.0353658676147461,1.1503671646118163
1100,0.8138665,2.1019739151000976,15.766282844543458,2.5813204765319826,1.0061791777610778,1.132521677017212
1150,0.8155548,2.092285490036011,15.65423641204834,2.5067653179168703,1.0059815764427185,1.1404829263687133
1200,0.81737673,2.096967363357544,15.49845085144043,2.4219303131103516,0.9997546672821045,1.1272507667541505
1250,0.81395847,2.089398956298828,15.307770347595214,2.369173860549927,0.9890824556350708,1.1094325065612793
