iter,ULA,dilation,tempering,diffusion,daz_scale1,daz_scale2
0,1.0311154127120972,1.0311154127120972,1.0311154127120972,1.0311154127120972,1.0311154127120972,1.0311154127120972
5,1.0025907754898071,1.0308154821395874,0.2344409078359604,0.2116152048110962,0.1754054427146911,0.1738038808107376
10,0.97427636384964,1.030483365058899,0.2320250123739242,0.1901737451553344,0.1750851422548294,0.1516232341527938
15,0.9469753503799438,1.0301748514175415,0.2309466451406479,0.1919760107994079,0.1735906898975372,0.1488445848226547
20,0.9211685061454772,1.029865860939026,0.2296373397111892,0.1863918602466583,0.1850040704011917,0.1486819982528686
25,0.8950422406196594,1.0295915603637695,0.2294224351644516,0.1862098276615142,0.1925820112228393,0.1542507708072662
30,0.8689346313476562,1.0292831659317017,0.2289494276046753,0.1824728399515152,0.1966566890478134,0.1539104729890823
35,0.844230592250824,1.028977394104004,0.2304011434316635,0.1803659200668335,0.1994921565055847,0.1607503741979599
40,0.8205165863037109,1.028698205947876,0.2306092828512191,0.1767070442438125,0.20242939889431,0.155435711145401
45,0.7978765368461609,1.0284050703048706,0.2284475415945053,0.1756653636693954,0.2045464366674423,0.1595228165388107
50,0.7750826478004456,1.0281180143356323,0.2293051928281784,0.1747609227895736,0.2128589153289795,0.156890794634819
55,0.7534774541854858,1.027825951576233,0.2297478765249252,0.1723453849554062,0.2103559523820877,0.157921478152275
60,0.7326250672340393,1.027503252029419,0.2306869328022003,0.1755688041448593,0.2096755057573318,0.155370756983757
65,0.7131447792053223,1.027174472808838,0.2297219485044479,0.1777078956365585,0.2126570045948028,0.1599581837654113
70,0.6936859488487244,1.0268583297729492,0.2287765592336654,0.1739404052495956,0.2163762897253036,0.1588698327541351
75,0.6760801672935486,1.0265486240386963,0.2284396141767501,0.1726683229207992,0.2166953831911087,0.1615175604820251
80,0.6569153666496277,1.0262588262557983,0.2313212454319,0.1702819615602493,0.2190999090671539,0.1637627631425857
85,0.6378392577171326,1.0259474515914917,0.2327217161655426,0.1695294827222824,0.2198601216077804,0.1654969900846481
90,0.6201695799827576,1.025651216506958,0.2297828048467636,0.1698131412267685,0.2215123176574707,0.1676291078329086
95,0.6036650538444519,1.0253604650497437,0.2288507521152496,0.1688564568758011,0.2180287092924118,0.1679810136556625
100,0.587475597858429,1.0250486135482788,0.2285362780094146,0.1693803071975708,0.2216815948486328,0.1665542423725128
105,0.5714312791824341,1.0247291326522827,0.2286291569471359,0.1684183627367019,0.2231395244598388,0.1655231565237045
110,0.5554935336112976,1.0244016647338867,0.2289303392171859,0.1643886566162109,0.2199995964765548,0.1685496568679809
115,0.5402919054031372,1.0241025686264038,0.2300828546285629,0.1647105067968368,0.2232519686222076,0.1678218841552734
120,0.5249037146568298,1.0237960815429688,0.2305128872394561,0.1676538735628128,0.2218509167432785,0.1683363765478134
125,0.5118280649185181,1.0235196352005005,0.2312416136264801,0.167538121342659,0.2226698696613311,0.1658047884702682
130,0.4991727769374847,1.0231707096099854,0.2298676967620849,0.1669994294643402,0.2241145223379135,0.1680140942335128
135,0.4851569235324859,1.0228763818740845,0.2301951497793197,0.1682553589344024,0.2272569388151168,0.1670486479997635
140,0.4722863137722015,1.0225502252578735,0.2315308600664138,0.1693533509969711,0.2266020327806472,0.16813924908638
