iter,KL_2_ULA,KL_2_dilation,KL_2_tempering,KL_2_diffusion,KL_2_daz_scale1
0,7.4634888553619385,7.592133951187134,1.798493070602417,1.023360081911087,0.606024729013443
50,5.542030420303345,8.133639154434205,1.5320599174499512,0.9145358383655549,0.4769083046913147
100,4.599872722625732,8.42340913772583,1.4130466318130492,0.8744526267051697,0.42754620492458345
150,3.9681699228286744,8.558533096313477,1.3411292839050293,0.8375362658500671,0.42802747666835783
200,3.4845529794692993,8.645682125091552,1.3225430417060853,0.8290551185607911,0.4151720803976059
250,3.1431180667877197,8.685621871948243,1.2836016201972962,0.8264632737636566,0.40589565098285674
300,2.8635104513168335,8.708461380004882,1.2744862008094788,0.857505042552948,0.40089605808258055
350,2.6095394706726074,8.695343132019042,1.219935369491577,0.8291954410076141,0.39710929214954377
400,2.487616834640503,8.658707790374756,1.2532257914543152,0.7688998544216156,0.40438933312892916
450,2.3565237379074095,8.679178867340088,1.226453981399536,0.792925695180893,0.4059805130958557
500,2.2744371509552,8.636874294281006,1.1808928346633911,0.7492195200920105,0.4030049115419388
550,2.184577531814575,8.631449241638183,1.2589045119285585,0.7997736883163452,0.4208103024959564
600,2.105417776107788,8.608454074859619,1.2533129334449769,0.8003455340862274,0.41522935032844543
650,2.0009528040885924,8.52163330078125,1.2696916341781617,0.8186776399612427,0.40440811693668366
700,1.9021232080459596,8.409862270355225,1.2198300862312317,0.8334421563148499,0.4148088699579239
750,1.8287422728538514,8.39674030303955,1.1977695274353026,0.8438138973712921,0.41371366024017336
800,1.7807526278495789,8.32751699447632,1.2081210732460022,0.8162874579429626,0.4004448801279068
850,1.8050782585144043,8.24442922592163,1.2301490926742553,0.8568728590011596,0.3860516917705536
900,1.727044861316681,8.239122810363769,1.2673812699317932,0.8480036675930023,0.37478468179702756
950,1.6388577890396119,8.208572158813476,1.2619505000114442,0.8531349873542786,0.3789579355716705
1000,1.5991758179664612,8.132856674194336,1.2592566013336182,0.8394386732578277,0.40149237871170046
1050,1.6094892716407776,8.074175128936767,1.3152855277061462,0.8349205017089844,0.39671881854534147
1100,1.6464132046699524,7.9733543205261235,1.3101422023773193,0.8336866295337677,0.3975545299053192
1150,1.6272226524353028,7.9305323886871335,1.3108174586296082,0.7905189919471741,0.39247255146503446
