x,Ground truth density
-2.619326591491699,0.004951617719697846
-2.6137522457836866,0.005395873127366809
-2.608177900075674,0.005875420799985944
-2.6026035543676613,0.006392619405913267
-2.5970292086596483,0.006949944666934708
-2.5914548629516356,0.007549991637441635
-2.585880517243623,0.008195476700033275
-2.5803061715356104,0.008889239243137186
-2.5747318258275977,0.009634242985060297
-2.569157480119585,0.010433576907828009
-2.563583134411572,0.01129045576326222
-2.5580087887035594,0.012208220113007465
-2.552434442995547,0.013190335863660632
-2.546860097287534,0.014240393257806377
-2.5412857515795215,0.015362105281636841
-2.535711405871509,0.016559305449950285
-2.530137060163496,0.01783594492970363
-2.524562714455483,0.019196088963954114
-2.5189883687474706,0.02064391255898589
-2.513414023039458,0.022183695398687427
-2.5078396773314453,0.02381981595185205
-2.5022653316234327,0.025556744740018324
-2.4966909859154196,0.027399036735768798
-2.491116640207407,0.029351322864072445
-2.4855422944993943,0.03141830058229752
-2.4799679487913817,0.03360472351793539
-2.474393603083369,0.03591539014687989
-2.4688192573753565,0.03835513149928307
-2.463244911667344,0.0409287978845671
-2.4576705659593308,0.04364124463210019
-2.452096220251318,0.04649731684933268
-2.4465218745433055,0.04950183320483117
-2.440947528835293,0.05265956874960816
-2.4353731831272802,0.055975236796429316
-2.4297988374192676,0.059453469883337405
-2.4242244917112545,0.0630987998544503
-2.418650146003242,0.06691563709812849
-2.4130758002952293,0.0709082489898395
-2.4075014545872166,0.07508073759440882
-2.401927108879204,0.0794370166898318
-2.3963527631711914,0.083980788182342
-2.3907784174631783,0.08871551798996793
-2.3852040717551657,0.09364441147928672
-2.379629726047153,0.09877038854746759
-2.3740553803391404,0.10409605844889148
-2.368481034631128,0.10962369447262864
-2.362906688923115,0.11535520858373678
-2.357332343215102,0.12129212614768468
-2.3517579975070895,0.12743556086311597
-2.346183651799077,0.13378619003361555
-2.340609306091064,0.14034423031400703
-2.3350349603830516,0.147109414071001
-2.329460614675039,0.15408096650160563
-2.3238862689670263,0.16125758365558013
-2.3183119232590133,0.1686374115102917
-2.3127375775510006,0.17621802624756616
-2.307163231842988,0.18399641588247814
-2.3015888861349754,0.19196896339341452
-2.2960145404269627,0.2001314315011937
-2.2904401947189497,0.20847894924243895
-2.284865849010937,0.21700600047878782
-2.2792915033029244,0.22570641447887124
-2.2737171575949118,0.2345733587042364
-2.268142811886899,0.24359933392361313
-2.2625684661788865,0.25277617177203715
-2.256994120470874,0.26209503486243
-2.251419774762861,0.27154641954728176
-2.245845429054848,0.2811201614171245
-2.2402710833468356,0.2908054436105875
-2.234696737638823,0.3005908079979725
-2.2291223919308103,0.3104641692866353
-2.2235480462227977,0.32041283208197824
-2.2179737005147846,0.33042351092268635
-2.212399354806772,0.34048235329302834
-2.2068250090987593,0.35057496559871676
-2.2012506633907467,0.36068644207601686
-2.195676317682734,0.37080139658670225
-2.1901019719747215,0.3809039972341098
-2.184527626266709,0.3909780037181059
-2.1789532805586957,0.4010068073293511
-2.173378934850683,0.41097347346595947
-2.1678045891426705,0.4208607865386368
-2.162230243434658,0.4306512971137309
-2.1566558977266452,0.4403273711275367
-2.151081552018632,0.4498712409897262
-2.1455072063106195,0.4592650583790776
-2.139932860602607,0.4684909485209011
-2.1343585148945943,0.477531065722743
-2.1287841691865816,0.486367649933322
-2.123209823478569,0.49498308407920255
-2.1176354777705564,0.5033599519246212
-2.1120611320625438,0.5114810961921992
-2.1064867863545307,0.5193296766760988
-2.100912440646518,0.5268892280745742
-2.0953380949385054,0.5341437172659009
-2.089763749230493,0.5410775997503553
-2.0841894035224797,0.5476758749813581
-2.078615057814467,0.5539241403110343
-2.0730407121064545,0.5598086432793644
-2.067466366398442,0.5653163319817267
-2.061892020690429,0.570434903257027
-2.0563176749824166,0.5751528484476595
-2.050743329274404,0.5794594964932694
-2.0451689835663913,0.5833450541325842
-2.0395946378583782,0.5868006430014114
-2.0340202921503656,0.5898183334301542
