err_mean;err_cos1;err_cos2;err_cos3
1.030362844467163;0.3192695677280426;0.7314179539680481;1.173468828201294
0.19349396228790283;0.12334338575601578;0.2365632802248001;0.20427437126636505
0.19395367801189423;0.10755007714033127;0.20427051186561584;0.1634690761566162
0.1912606805562973;0.10202274471521378;0.1951216608285904;0.14111728966236115
0.192462757229805;0.10197990387678146;0.1915639489889145;0.13432693481445312
0.19021804630756378;0.09848994761705399;0.18342092633247375;0.12653592228889465
0.19193434715270996;0.0979924350976944;0.18408717215061188;0.1221604123711586
0.19095681607723236;0.09711556881666183;0.18040676414966583;0.1205778643488884
0.19194085896015167;0.0988205298781395;0.18209949135780334;0.12195759266614914
0.19376248121261597;0.10066518932580948;0.1851571947336197;0.11384222656488419
0.1907222419977188;0.0972151979804039;0.18139885365962982;0.11470630019903183
0.19381310045719147;0.09670938551425934;0.1784706860780716;0.11050861328840256
0.19262032210826874;0.0974857434630394;0.1786702424287796;0.1118149384856224
0.19363366067409515;0.09724486619234085;0.1773831695318222;0.11255701631307602
0.18972282111644745;0.0947432741522789;0.1731932908296585;0.113461934030056
0.1924162358045578;0.09613513201475143;0.17620950937271118;0.10990983247756958
0.19145262241363525;0.09556247293949127;0.1755046248435974;0.1085142269730568
0.19195139408111572;0.09542471915483475;0.17473068833351135;0.10889456421136856
0.19564507901668549;0.09721727669239044;0.1735745221376419;0.10803735256195068
0.19239313900470734;0.09598011523485184;0.1765625923871994;0.11116208881139755
0.19360971450805664;0.09682535380125046;0.17785213887691498;0.11173921823501587
0.1925896406173706;0.09477213770151138;0.171806201338768;0.10370570421218872
0.19181497395038605;0.09530959278345108;0.17485128343105316;0.1050766259431839
0.1918439418077469;0.09621179848909378;0.17607517540454865;0.106941357254982
0.19211076200008392;0.09676230698823929;0.17551790177822113;0.1054920107126236
0.19283819198608398;0.0957283303141594;0.17508666217327118;0.10767409950494766
0.1929425597190857;0.09539533406496048;0.17308664321899414;0.10872799158096313
0.19364742934703827;0.09551866352558136;0.17524005472660065;0.10623854398727417
0.19125637412071228;0.09462711215019226;0.17446808516979218;0.10668406635522842
0.19201484322547913;0.09498345106840134;0.17613409459590912;0.10622185468673706
0.191513329744339;0.09475908428430557;0.1719639152288437;0.10600122064352036
0.19285468757152557;0.09408512711524963;0.16987520456314087;0.1001497283577919
0.19486652314662933;0.09498080611228943;0.1725880652666092;0.10317247360944748
0.1937417834997177;0.09351392835378647;0.17158837616443634;0.10469567030668259
0.19113585352897644;0.09460868686437607;0.17104963958263397;0.1017785295844078
0.19201622903347015;0.09448488801717758;0.1712566465139389;0.10384064167737961
0.1920495480298996;0.09407725930213928;0.16987244784832;0.09925367683172226
0.19398945569992065;0.09480873495340347;0.17058183252811432;0.09790416806936264
0.1932561844587326;0.09439646452665329;0.17029689252376556;0.10209810733795166
0.1907316893339157;0.09461861848831177;0.17404459416866302;0.10276520252227783
0.19339755177497864;0.0955585390329361;0.1730923354625702;0.10632243007421494
0.19076509773731232;0.09371393173933029;0.1693134605884552;0.10001635551452637
0.19406519830226898;0.0949246734380722;0.17173275351524353;0.10637866705656052
0.19376178085803986;0.0939243882894516;0.16865992546081543;0.0989522635936737
0.19409427046775818;0.09359576553106308;0.16930679976940155;0.1012553721666336
0.1955077350139618;0.09642519801855087;0.17319773137569427;0.10163360834121704
0.19531720876693726;0.09523182362318039;0.17155501246452332;0.1043756976723671
0.1926390379667282;0.09425773471593857;0.17030499875545502;0.10015618056058884
0.19249622523784637;0.09408563375473022;0.17041198909282684;0.1036176010966301
0.1929934024810791;0.09415032714605331;0.17039771378040314;0.10475059598684311
0.19409094750881195;0.09427438676357269;0.16997294127941132;0.10070238262414932
0.19453559815883636;0.09402026236057281;0.1699163317680359;0.10123143345117569
0.19251301884651184;0.09439190477132797;0.17009273171424866;0.09831127524375916
0.19315534830093384;0.09514143317937851;0.17034690082073212;0.09667407721281052
0.19106760621070862;0.0949132964015007;0.17003510892391205;0.09786106646060944
0.19187213480472565;0.09537336230278015;0.17224346101284027;0.09841489046812057
0.19345226883888245;0.0951465368270874;0.1729213446378708;0.09876958280801773
0.19321197271347046;0.09576394408941269;0.1726759821176529;0.09946252405643463
0.19305077195167542;0.09481989592313766;0.1720300167798996;0.0993582159280777
0.19141757488250732;0.0941731333732605;0.1720649003982544;0.10243763774633408
0.18966956436634064;0.09248609840869904;0.16602717339992523;0.09632623940706253
0.1917286366224289;0.09248512238264084;0.16636744141578674;0.099685899913311
0.1930239051580429;0.09350356459617615;0.16904370486736298;0.10224651545286179
0.1938530057668686;0.09458627551794052;0.17012841999530792;0.1018192395567894
0.19171734154224396;0.0936780571937561;0.16900186240673065;0.1029944196343422
0.19258007407188416;0.09527318924665451;0.1721716672182083;0.09978588670492172
0.1947738081216812;0.09626516699790955;0.17437684535980225;0.10338850319385529
0.19237194955348969;0.09355875104665756;0.1694447100162506;0.10037559270858765
0.19195987284183502;0.09500832855701447;0.17190206050872803;0.10116453468799591
0.19140402972698212;0.09533871710300446;0.17276601493358612;0.10214616358280182
0.1917136013507843;0.09594138711690903;0.17082171142101288;0.0966954454779625
0.193280890583992;0.09434259682893753;0.16991345584392548;0.09761340916156769
0.19252188503742218;0.09457726031541824;0.1712144911289215;0.09713546931743622
0.19198675453662872;0.09385039657354355;0.1686466783285141;0.09733056277036667
0.19084514677524567;0.09410270303487778;0.16745810210704803;0.0956946387887001
0.19249148666858673;0.09460567682981491;0.1699594259262085;0.09873723983764648
0.1933237761259079;0.09486009925603867;0.16993092000484467;0.10356505215167999
0.19482634961605072;0.09468121081590652;0.16826987266540527;0.09861883521080017
0.19345532357692719;0.09466366469860077;0.1699371188879013;0.0981334000825882
0.1938905268907547;0.09360664337873459;0.1679149866104126;0.09835974872112274
0.19253559410572052;0.09464927762746811;0.17161273956298828;0.10091909021139145
0.19519411027431488;0.09566207230091095;0.1721486896276474;0.10051637142896652
0.19322724640369415;0.09501340240240097;0.17195656895637512;0.09840917587280273
0.19275858998298645;0.09403326362371445;0.1697920560836792;0.09701544046401978
0.19252310693264008;0.09317447245121002;0.16590455174446106;0.09407248347997665
0.19382420182228088;0.09276403486728668;0.16617394983768463;0.09602196514606476
0.19381187856197357;0.09322971850633621;0.16744129359722137;0.09683429449796677
0.1931675225496292;0.09322966635227203;0.16710862517356873;0.09454051405191422
0.1933252066373825;0.0933602973818779;0.16643264889717102;0.09334005415439606
0.19472742080688477;0.09418030828237534;0.16978465020656586;0.09729941934347153
0.19421115517616272;0.0940198227763176;0.16976208984851837;0.09959068149328232
0.19274477660655975;0.09393162280321121;0.16767571866512299;0.09668838232755661
0.19055484235286713;0.09367945790290833;0.1689068228006363;0.09615138173103333
0.19213297963142395;0.09421756118535995;0.16925767064094543;0.09893202036619186
0.19284097850322723;0.09418713301420212;0.16841423511505127;0.09386879205703735
0.19410622119903564;0.09418360143899918;0.17004430294036865;0.09941171854734421
0.19509343802928925;0.0940231904387474;0.1681385040283203;0.09901508688926697
0.19459168612957;0.09346537292003632;0.16803187131881714;0.0999554991722107
0.19404752552509308;0.09407254308462143;0.16911379992961884;0.09833182394504547
0.1943962723016739;0.09500037878751755;0.1706714630126953;0.0993981584906578
0.19448348879814148;0.09422421455383301;0.17052243649959564;0.09935785084962845
0.19466255605220795;0.09488499164581299;0.17200464010238647;0.10230133682489395
0.19431458413600922;0.09399111568927765;0.1691519021987915;0.09818155318498611
0.19367580115795135;0.09349198639392853;0.1686382293701172;0.09780525416135788
0.1946592777967453;0.09382897615432739;0.16804073750972748;0.09600246697664261
0.19248846173286438;0.09349803626537323;0.17104887962341309;0.10009848326444626
0.19368700683116913;0.09310998022556305;0.16719412803649902;0.09439655393362045
0.19461390376091003;0.09304407984018326;0.1665814369916916;0.09650969505310059
0.19456708431243896;0.09337355941534042;0.16820982098579407;0.09550110995769501
0.19441315531730652;0.09378192573785782;0.16902589797973633;0.09753134846687317
0.1944459080696106;0.0937509685754776;0.1681116819381714;0.09819318354129791
0.19262942671775818;0.0922451764345169;0.16660185158252716;0.09669484198093414
0.19277791678905487;0.09306420385837555;0.16741466522216797;0.09723258018493652
0.19218650460243225;0.09171997755765915;0.1659097522497177;0.09726164489984512
0.19353719055652618;0.09178649634122849;0.16530506312847137;0.10057153552770615
0.1932174265384674;0.09256412088871002;0.16582326591014862;0.0971979945898056
0.1920551359653473;0.09224715083837509;0.1659340113401413;0.09345360845327377
0.19037607312202454;0.09099830687046051;0.162690207362175;0.09379225224256516
0.1905585080385208;0.0920240506529808;0.16600336134433746;0.09399758279323578
0.19129353761672974;0.09264646470546722;0.16701023280620575;0.09660654515028
0.19232262670993805;0.09371671080589294;0.1677892655134201;0.09580407291650772
0.19321309030056;0.09372825920581818;0.16762736439704895;0.09496048837900162
0.1934138983488083;0.09377729892730713;0.16919346153736115;0.0971454605460167
0.1940142810344696;0.09320531040430069;0.16754695773124695;0.09417658299207687
0.19319264590740204;0.09413540363311768;0.1691219061613083;0.09264418482780457
0.19259802997112274;0.0944722518324852;0.17079421877861023;0.09421636909246445
0.1915670782327652;0.09357407689094543;0.17002861201763153;0.09622559696435928
0.19166837632656097;0.09371919184923172;0.1688111126422882;0.09405623376369476
0.19293013215065002;0.09384383261203766;0.1672239899635315;0.09245343506336212
0.1935424655675888;0.09399926662445068;0.16895391047000885;0.09776422381401062
0.19307731091976166;0.09370455145835876;0.16707268357276917;0.09827296435832977
0.19223080575466156;0.09369172155857086;0.1671333611011505;0.09738949686288834
0.19215339422225952;0.09369203448295593;0.16848240792751312;0.09552998095750809
0.1935570389032364;0.09393586218357086;0.1688348799943924;0.09866855293512344
0.19384382665157318;0.09377797693014145;0.1667596995830536;0.09757398813962936
0.1947263777256012;0.09327670186758041;0.1654645949602127;0.09535898268222809
0.1953078806400299;0.09353188425302505;0.16722117364406586;0.09747666865587234
0.19564025104045868;0.09330204129219055;0.1662328690290451;0.09562607109546661
0.196010559797287;0.09371159225702286;0.1669527143239975;0.09565290063619614
0.19453367590904236;0.092450350522995;0.16656306385993958;0.09527090936899185
0.19408157467842102;0.09239912033081055;0.16714505851268768;0.09367102384567261
0.19291242957115173;0.09261100739240646;0.16747669875621796;0.0946650505065918
0.1933177411556244;0.09312915802001953;0.1686175912618637;0.0952465683221817
0.1920495480298996;0.09272923320531845;0.1667279303073883;0.09591349214315414
0.19168011844158173;0.09304837882518768;0.16890566051006317;0.09295255690813065
0.1927376091480255;0.09311677515506744;0.16702723503112793;0.0944952517747879
0.1899750679731369;0.09324411302804947;0.1687999814748764;0.09541149437427521
0.19222679734230042;0.09360996633768082;0.16812458634376526;0.09749006479978561
0.19257903099060059;0.09396444261074066;0.1678730994462967;0.09512176364660263
0.19323328137397766;0.09405805915594101;0.16883742809295654;0.09715475142002106
0.1944490671157837;0.09403333067893982;0.1693793386220932;0.09685487300157547
0.19280211627483368;0.09416645765304565;0.16947518289089203;0.09553707391023636
0.1936873346567154;0.09493814408779144;0.17104507982730865;0.09894761443138123
0.19289980828762054;0.09371598064899445;0.1698547750711441;0.0973612442612648
0.1940263956785202;0.09366091340780258;0.16910068690776825;0.09852742403745651
0.19328469038009644;0.094517283141613;0.17061316967010498;0.09934427589178085
0.19206610321998596;0.09439423680305481;0.1721261590719223;0.09956812113523483
0.19180922210216522;0.09372635930776596;0.17176540195941925;0.0973406434059143
0.19250307977199554;0.09387745708227158;0.16891859471797943;0.09556396305561066
0.19186162948608398;0.09331841766834259;0.16871529817581177;0.09622963517904282
0.19096413254737854;0.09364881366491318;0.1687081903219223;0.09770794212818146
0.19198231399059296;0.09457600861787796;0.1693291813135147;0.09829898178577423
0.19153305888175964;0.0939849466085434;0.16869834065437317;0.09818035364151001
0.192727193236351;0.09422091394662857;0.1689758598804474;0.09888690710067749
0.19167017936706543;0.09402327984571457;0.16984665393829346;0.1023857519030571
0.19359035789966583;0.0950787141919136;0.1715223640203476;0.10329341888427734
0.19280582666397095;0.09550146013498306;0.17154143750667572;0.10024495422840118
0.1926260143518448;0.09425891935825348;0.1696603000164032;0.09938648343086243
0.19240795075893402;0.09408439695835114;0.16973257064819336;0.10050933808088303
0.1921156346797943;0.09469079226255417;0.17112849652767181;0.10060238093137741
0.19399987161159515;0.09364531934261322;0.16833387315273285;0.09956642240285873
0.19477461278438568;0.09377714991569519;0.16895006597042084;0.10156464576721191
0.19394169747829437;0.09412495791912079;0.17008356750011444;0.09999658912420273
0.19296236336231232;0.0946967825293541;0.1718987226486206;0.10072541236877441
0.19386278092861176;0.09417697042226791;0.17073021829128265;0.10110002011060715
