iter,ULA,dilation,tempering,diffusion,daz_scale1,daz_scale2
0,1.030362844467163,1.030362844467163,1.030362844467163,1.030362844467163,1.030362844467163,1.0763877630233765
100,1.030806541442871,1.0300865173339844,0.5290298461914062,0.5681917071342468,0.1934939622879028,0.30148646235466
200,1.0253918170928955,1.0303391218185425,0.532548725605011,0.5724274516105652,0.1939536780118942,0.304688811302185
300,1.0273292064666748,1.0303434133529663,0.5442115664482117,0.5574836730957031,0.1912606805562973,0.30221027135849
400,1.0286078453063965,1.0302255153656006,0.5446709990501404,0.5709559321403503,0.192462757229805,0.3028031587600708
500,1.0311869382858276,1.0300095081329346,0.5509839653968811,0.5578420758247375,0.1902180463075637,0.3044199645519256
600,1.0331228971481323,1.0299626588821411,0.5522341728210449,0.5700940489768982,0.1919343471527099,0.3021074533462524
700,1.0339349508285522,1.0298490524291992,0.5494624376296997,0.5725757479667664,0.1909568160772323,0.3014638125896454
800,1.0330250263214111,1.0296474695205688,0.5542751550674438,0.5719284415245056,0.1919408589601516,0.3032297194004059
900,1.0354387760162354,1.0297353267669678,0.5576863884925842,0.5689837336540222,0.1937624812126159,0.3030495345592499
1000,1.0358113050460815,1.0298527479171753,0.5607226490974426,0.570760190486908,0.1907222419977188,0.3030541539192199
1100,1.03495192527771,1.0298157930374146,0.5591301321983337,0.5652886629104614,0.1938131004571914,0.3035525977611542
1200,1.0396679639816284,1.029880404472351,0.5626969337463379,0.5616104602813721,0.1926203221082687,0.3038861751556396
1300,1.0386416912078855,1.029627799987793,0.5598387718200684,0.5630046129226685,0.1936336606740951,0.3017257750034332
1400,1.0436185598373413,1.0297764539718628,0.5592870116233826,0.5657982230186462,0.1897228211164474,0.3028817176818847
1500,1.0389755964279177,1.0300496816635132,0.5612396597862244,0.5571916699409485,0.1924162358045578,0.3031538426876068
1600,1.0378321409225464,1.0302565097808838,0.5615703463554382,0.5542738437652588,0.1914526224136352,0.3027302026748657
1700,1.0370177030563354,1.0302804708480835,0.5592827200889587,0.5498456358909607,0.1919513940811157,0.3036949634552002
1800,1.0376901626586914,1.0305709838867188,0.5569127798080444,0.5529547929763794,0.1956450790166854,0.303304374217987
1900,1.0376447439193726,1.0304977893829346,0.557273268699646,0.5467366576194763,0.1923931390047073,0.3017093539237976
2000,1.0363930463790894,1.030890703201294,0.5583325028419495,0.5448408722877502,0.1936097145080566,0.3014365434646606
