iter,diffusion,ULA,tempering,dilation,DAZ
6963,57.881123,7.7366676,16.110859,0.11608436,48.103737
7029,58.001118,7.810001,16.203709,0.117661156,48.151196
7094,58.118683,7.882223,16.294933,0.11922516,48.197487
7160,58.237473,7.9555564,16.387342,0.12082456,48.244064
7226,58.355663,8.02889,16.479536,0.12243547,48.290226
7292,58.473274,8.102223,16.571503,0.124057986,48.33594
7357,58.588554,8.174445,16.661871,0.12566733,48.38057
7423,58.705055,8.247779,16.753431,0.12731314,48.42549
7489,58.821007,8.321113,16.84477,0.12897074,48.46999
7554,58.93467,8.393334,16.934536,0.13061489,48.513466
7620,59.049553,8.466668,17.025484,0.13229626,48.557186
7686,59.16392,8.540001,17.11623,0.1339897,48.600567
7751,59.27606,8.612224,17.205421,0.13566938,48.642887
7817,59.389427,8.685556,17.295784,0.13738708,48.685528
7883,59.502304,8.75889,17.38597,0.1391171,48.72778
7948,59.613003,8.831112,17.474598,0.14083308,48.76906
8014,59.72492,8.904446,17.564415,0.14258787,48.81064
8080,59.83637,8.977779,17.654053,0.14435527,48.85185
8146,59.94736,9.051112,17.743505,0.14613536,48.892742
8211,60.056236,9.123335,17.831446,0.14790097,48.9327
8277,60.16635,9.196668,17.920555,0.14970653,48.97292
8343,60.27601,9.270001,18.009499,0.15152508,49.012833
8408,60.38359,9.342223,18.096941,0.15332876,49.05184
8474,60.492424,9.415557,18.185555,0.15517326,49.09114
8540,60.600822,9.48889,18.274004,0.15703098,49.13011
8605,60.707184,9.561112,18.360964,0.15887359,49.168205
8671,60.814796,9.634446,18.449112,0.16075784,49.206596
8737,60.921986,9.707779,18.537088,0.16265562,49.2447
8802,61.027203,9.780002,18.623585,0.16453792,49.281948
8868,61.133617,9.853334,18.711266,0.16646278,49.319492
8934,61.239697,9.926668,18.7988,0.16840144,49.356735
9000,61.34536,10.000001,18.88619,0.17035398,49.393703
9065,61.449097,10.072224,18.97211,0.17229061,49.42985
9131,61.55405,10.145556,19.059204,0.17427102,49.46629
9197,61.65866,10.21889,19.146158,0.1762656,49.502464
9262,61.761356,10.291113,19.231659,0.1782439,49.537838
9328,61.865257,10.364446,19.31834,0.18026692,49.5735
9394,61.96884,10.437779,19.404886,0.1823044,49.608913
9459,62.070538,10.510001,19.48999,0.18432525,49.643547
9525,62.173443,10.583335,19.576273,0.18639176,49.67847
9591,62.27604,10.656668,19.662426,0.18847305,49.713154
9657,62.37833,10.730001,19.74845,0.19056924,49.747597
9722,62.478745,10.802223,19.833044,0.1926483,49.781292
9788,62.580387,10.875557,19.918816,0.19477431,49.815277
9854,62.681732,10.948891,20.004463,0.19691552,49.849014
9919,62.781254,11.021112,20.088694,0.19903924,49.882015
9985,62.88202,11.094446,20.1741,0.20121092,49.915306
10051,62.98248,11.167779,20.25939,0.2033981,49.948383
10116,63.081123,11.240002,20.343271,0.20556739,49.98075
10182,63.181007,11.313334,20.42833,0.20778568,50.013412
10248,63.280613,11.386668,20.513273,0.21001978,50.045868
10313,63.37844,11.45889,20.596823,0.21223561,50.077606
10379,63.477505,11.532224,20.681543,0.21450152,50.109615
10445,63.576298,11.605557,20.766144,0.21678342,50.141434
10511,63.674828,11.67889,20.850636,0.21908171,50.17306
10576,63.771606,11.751113,20.933744,0.22136116,50.204033
10642,63.869617,11.824446,21.01803,0.22369206,50.235252
10708,63.96737,11.897779,21.102215,0.22603956,50.26627
10773,64.06344,11.970001,21.185028,0.22836785,50.29665
10839,64.16062,12.043335,21.268993,0.23074864,50.32733
10905,64.25771,12.116669,21.352858,0.2331464,50.357796
10970,64.35293,12.18889,21.43536,0.2355245,50.387604
11036,64.44958,12.262224,21.519041,0.23795626,50.417717
11102,64.54575,12.335557,21.602629,0.24040532,50.447678
11167,64.64047,12.40778,21.68483,0.24283427,50.47694
11233,64.736206,12.4811125,21.76821,0.245318,50.50651
11299,64.83188,12.554446,21.851505,0.24781938,50.535946
11365,64.92722,12.627779,21.934715,0.25033855,50.56515
11430,65.02095,12.700002,22.016544,0.25283703,50.59376
11496,65.115944,12.773335,22.099556,0.2553918,50.62269
11562,65.21061,12.846668,22.182491,0.2579648,50.65139
11627,65.30384,12.918891,22.264069,0.26051658,50.679516
11693,65.39802,12.992224,22.346807,0.26312602,50.707966
11759,65.49218,13.0655575,22.429476,0.26575387,50.736164
11824,65.58465,13.137779,22.510805,0.26836017,50.763832
11890,65.67831,13.211113,22.59328,0.27102512,50.79178
11956,65.77196,13.284446,22.675694,0.273709,50.819527
12022,65.86511,13.3577795,22.758022,0.2764119,50.847183
12087,65.956856,13.430001,22.839003,0.27909255,50.87421
12153,66.049805,13.503335,22.921171,0.2818336,50.901535
12219,66.142456,13.576669,23.003248,0.28459403,50.928726
12284,66.2337,13.6488905,23.083996,0.2873318,50.95532
12350,66.326,13.722224,23.165936,0.29013118,50.982254
12416,66.418144,13.795557,23.24776,0.2929504,51.00894
12481,66.508896,13.86778,23.32829,0.29574636,51.035168
12547,66.60057,13.9411125,23.40999,0.2986053,51.061604
12613,66.692215,14.014446,23.49159,0.30148444,51.087933
12678,66.78244,14.086668,23.571917,0.30433983,51.11372
12744,66.87358,14.160002,23.653364,0.30725947,51.13976
12810,66.96472,14.2333355,23.734764,0.31019977,51.16569
12876,67.05581,14.306668,23.816086,0.3131608,51.191444
12941,67.14507,14.378891,23.8961,0.31609744,51.216736
13007,67.23571,14.452224,23.977295,0.31910014,51.242218
13073,67.32634,14.5255575,24.058386,0.32212403,51.267647
13138,67.41511,14.597779,24.138227,0.3251229,51.292484
13204,67.50524,14.671113,24.219172,0.32818937,51.31766
13270,67.595375,14.744447,24.300097,0.3312775,51.34263
13335,67.68374,14.8166685,24.37969,0.33433998,51.367176
13401,67.77337,14.890002,24.460478,0.33747128,51.391903
13467,67.863,14.963335,24.54117,0.3406247,51.416576
13532,67.95103,15.035558,24.620602,0.343752,51.440697
13598,68.04015,15.108891,24.701168,0.34694958,51.46512
13664,68.12928,15.182224,24.781693,0.35016966,51.48939
13730,68.218376,15.255557,24.862133,0.35341242,51.51356
13795,68.30566,15.32778,24.941317,0.35662833,51.53726
13861,68.39428,15.4011135,25.021631,0.35991645,51.561176
13927,68.4829,15.474446,25.101913,0.36322775,51.585037
13992,68.56995,15.546669,25.180887,0.3665116,51.608345
14058,68.658066,15.620002,25.261057,0.3698692,51.63201
14124,68.746185,15.693336,25.34112,0.3732504,51.655434
14189,68.83297,15.765557,25.41997,0.3766035,51.678493
14255,68.92072,15.838891,25.499908,0.38003194,51.701744
14321,69.00834,15.912224,25.579845,0.3834844,51.724907
14386,69.09463,15.984447,25.658472,0.38690823,51.747646
14452,69.18224,16.05778,25.738283,0.39040893,51.770557
14518,69.26943,16.131113,25.818026,0.3939341,51.79347
14584,69.356544,16.204447,25.89771,0.397484,51.816154
14649,69.44234,16.276669,25.976158,0.40100437,51.83847
14715,69.52945,16.350002,26.055717,0.40460378,51.861023
14781,69.616165,16.423336,26.135277,0.40822834,51.88343
14846,69.70146,16.495558,26.21352,0.41182274,51.9055
14912,69.78807,16.568892,26.292953,0.41549775,51.927677
14978,69.87468,16.642225,26.372326,0.41919857,51.949833
15043,69.95971,16.714447,26.450432,0.42286834,51.971573
15109,70.045815,16.78778,26.529737,0.42662057,51.993477
15175,70.13192,16.861113,26.60892,0.43039894,52.01538
15241,70.218025,16.934446,26.6881,0.4342037,52.03711
15306,70.30277,17.006668,26.766024,0.43797672,52.058434
15372,70.388374,17.080002,26.84508,0.44183436,52.080086
15438,70.473976,17.153336,26.924135,0.44571885,52.101486
15503,70.55828,17.225557,27.001883,0.44957095,52.122562
15569,70.64388,17.298891,27.080812,0.4535093,52.1439
15635,70.729256,17.372225,27.159714,0.4574751,52.16505
15700,70.813065,17.444447,27.237324,0.46140778,52.18588
15766,70.89816,17.51778,27.316128,0.4654285,52.206924
15832,70.98326,17.591114,27.394869,0.4694772,52.22782
15897,71.06707,17.663336,27.472355,0.4734921,52.2484
15963,71.15189,17.73667,27.551033,0.47759682,52.26917
16029,71.23649,17.810001,27.629625,0.48173007,52.289814
16095,71.32108,17.883335,27.708178,0.48589197,52.31046
16160,71.404396,17.955559,27.78554,0.49001908,52.330654
16226,71.48899,18.02889,27.86399,0.49423853,52.351048
16292,71.57338,18.102224,27.942417,0.49848723,52.37144
16357,71.6562,18.174446,28.019655,0.50270045,52.3914
16423,71.74029,18.24778,28.097975,0.5070078,52.41154
16489,71.82438,18.321114,28.176275,0.5113449,52.431683
16554,71.907196,18.393335,28.25339,0.51564574,52.451424
16620,71.99129,18.46667,28.33159,0.52004266,52.471313
16686,72.07489,18.540003,28.409765,0.52447,52.491203
16751,72.15721,18.612225,28.486755,0.52886015,52.510746
16817,72.2408,18.685558,28.564848,0.53334844,52.530384
16883,72.32439,18.758892,28.642897,0.5378678,52.550022
16949,72.407974,18.832224,28.720945,0.5424183,52.56966
17014,72.49017,18.904448,28.797758,0.54693055,52.58877
17080,72.57326,18.97778,28.87568,0.55154353,52.60816
17146,72.65634,19.051113,28.953604,0.55618834,52.627544
17211,72.73817,19.123335,29.030334,0.5607941,52.6465
