TV_0;KL_0;TV_1;KL_1;TV_2;KL_2;TV_3;KL_3;TV_4;KL_4
1.8904000520706177;3.284287214279175;1.86680006980896;3.1105833053588867;1.988800048828125;8.162443161010742;1.9963997602462769;14.391231536865234;1.899999976158142;3.3835368156433105
1.708400011062622;2.1865744590759277;1.6660001277923584;2.8986496925354004;1.9491896629333496;8.454498291015625;1.9480608701705933;9.52450942993164;1.7324000597000122;2.279843807220459
1.6640000343322754;1.9453909397125244;1.5832000970840454;3.4894418716430664;1.9061696529388428;7.723291397094727;1.8969186544418335;8.136968612670898;1.6719999313354492;2.0345137119293213
1.6279999017715454;1.8282337188720703;1.5352001190185547;3.8029963970184326;1.8643929958343506;7.104355812072754;1.849635124206543;7.266500473022461;1.6335999965667725;1.9224209785461426
1.607200026512146;1.767871379852295;1.4779999256134033;3.959398031234741;1.8271303176879883;6.726211071014404;1.7970540523529053;6.878795146942139;1.6000001430511475;1.8244538307189941
1.5976001024246216;1.7535691261291504;1.4388000965118408;4.185904502868652;1.777357578277588;6.382264614105225;1.762674331665039;6.255912780761719;1.5708000659942627;1.743345022201538
1.586400032043457;1.7398183345794678;1.3999385833740234;4.298424243927002;1.7344050407409668;5.969988822937012;1.7251083850860596;5.71730899810791;1.5456000566482544;1.679396629333496
1.5759999752044678;1.730924129486084;1.3641629219055176;4.43316125869751;1.6949889659881592;5.757582187652588;1.695811152458191;5.6211066246032715;1.52839994430542;1.6381734609603882
1.5747945308685303;1.7513542175292969;1.3304784297943115;4.37517786026001;1.653949499130249;5.587747097015381;1.668998122215271;5.187808513641357;1.500786542892456;1.5865755081176758
1.5671831369400024;1.7576266527175903;1.2965500354766846;4.312270164489746;1.6174379587173462;5.35242223739624;1.6412749290466309;4.979767799377441;1.4851627349853516;1.5494228601455688
1.5607506036758423;1.774929165840149;1.2646256685256958;4.227105617523193;1.5716710090637207;5.054905891418457;1.6091207265853882;4.913847923278809;1.4711837768554688;1.55029296875
1.5535433292388916;1.8110935688018799;1.236109972000122;4.255043029785156;1.5515038967132568;4.978501796722412;1.5767196416854858;4.792060375213623;1.4519774913787842;1.5436692237854004
1.549087643623352;1.8344647884368896;1.2234914302825928;4.230232238769531;1.519200325012207;4.651020050048828;1.5639994144439697;4.477791786193848;1.4379560947418213;1.5272424221038818
1.5402131080627441;1.8169430494308472;1.2065812349319458;4.095640659332275;1.4838306903839111;4.525276184082031;1.552796721458435;4.353288173675537;1.430349588394165;1.5379948616027832
1.5332543849945068;1.8347171545028687;1.2007756233215332;4.181290626525879;1.4553682804107666;4.358909606933594;1.5308151245117188;4.168971061706543;1.421919584274292;1.5615713596343994
1.5244510173797607;1.8127045631408691;1.1794772148132324;4.129168510437012;1.4217383861541748;4.1854071617126465;1.513446569442749;4.025228023529053;1.4122579097747803;1.581310510635376
1.5171113014221191;1.8595266342163086;1.1736609935760498;4.183408737182617;1.4130809307098389;4.091945648193359;1.4936139583587646;3.882309913635254;1.4001975059509277;1.5939041376113892
1.5080864429473877;1.9310376644134521;1.160003423690796;4.0789594650268555;1.3845880031585693;4.09753942489624;1.47905695438385;3.9672727584838867;1.3884382247924805;1.5723700523376465
1.5047547817230225;1.9301241636276245;1.1515867710113525;4.070287227630615;1.3580913543701172;3.954253673553467;1.4630290269851685;3.7369627952575684;1.383194923400879;1.5985486507415771
1.497748851776123;1.9259185791015625;1.1444103717803955;4.034413814544678;1.3165977001190186;3.7159647941589355;1.445620059967041;3.7049968242645264;1.365460753440857;1.606458306312561
1.4922428131103516;1.9262642860412598;1.127233862876892;3.8209609985351562;1.3047429323196411;3.778966188430786;1.4383121728897095;3.6436538696289062;1.361027717590332;1.6432082653045654
1.487929344177246;1.9206749200820923;1.1262104511260986;3.8657352924346924;1.2913286685943604;3.7632577419281006;1.407381534576416;3.4402594566345215;1.3511879444122314;1.6839003562927246
1.4775660037994385;1.8986268043518066;1.114719271659851;3.792013645172119;1.268687129020691;3.614652633666992;1.4104275703430176;3.413605213165283;1.348989486694336;1.633826494216919
1.4765982627868652;1.9216523170471191;1.1078271865844727;3.885582208633423;1.2406446933746338;3.4142467975616455;1.4015722274780273;3.384981155395508;1.3410284519195557;1.6873795986175537
1.4646821022033691;1.955808162689209;1.0954129695892334;3.882805585861206;1.2298047542572021;3.376380443572998;1.3765560388565063;3.235685110092163;1.3292244672775269;1.6729295253753662
1.454976201057434;1.9569251537322998;1.094818353652954;3.859266757965088;1.2035737037658691;3.4040470123291016;1.3607014417648315;3.1743602752685547;1.3295360803604126;1.6953285932540894
1.4521162509918213;1.9348918199539185;1.0904409885406494;3.8441524505615234;1.1849983930587769;3.3737432956695557;1.3590402603149414;3.0537493228912354;1.3219046592712402;1.6771694421768188
1.4455806016921997;1.9397737979888916;1.0796658992767334;3.8966362476348877;1.1759717464447021;3.342898368835449;1.3425006866455078;3.0495195388793945;1.3187661170959473;1.71415114402771
1.4415721893310547;2.0653624534606934;1.068326711654663;3.8897416591644287;1.160076379776001;3.297912359237671;1.3286995887756348;2.971101999282837;1.3168243169784546;1.7608221769332886
1.4323735237121582;1.9576835632324219;1.0650131702423096;3.89677095413208;1.16092848777771;3.2913784980773926;1.3247449398040771;2.910661458969116;1.2967655658721924;1.756425380706787
1.4178866147994995;1.91681706905365;1.0649585723876953;3.714714527130127;1.1378400325775146;3.2244222164154053;1.3181800842285156;2.920288324356079;1.300263524055481;1.794565200805664
1.418600082397461;1.9204262495040894;1.0435633659362793;3.6860620975494385;1.1199169158935547;3.0783917903900146;1.296210527420044;3.017226219177246;1.2930629253387451;1.7614924907684326
1.4058812856674194;1.8953536748886108;1.0394871234893799;3.623727321624756;1.1143677234649658;2.9919843673706055;1.2953022718429565;2.8532795906066895;1.2851157188415527;1.779482126235962
1.3988795280456543;1.8870717287063599;1.039313793182373;3.7220442295074463;1.1051819324493408;3.0480971336364746;1.2864933013916016;2.785555839538574;1.2840008735656738;1.8169982433319092
1.4022243022918701;1.9307955503463745;1.0283757448196411;3.6596179008483887;1.083531379699707;3.039262294769287;1.2683173418045044;2.9163882732391357;1.2789840698242188;1.7984142303466797
1.3956631422042847;1.9166544675827026;1.0237514972686768;3.563544988632202;1.0661903619766235;2.770188093185425;1.2406306266784668;2.7147343158721924;1.2741575241088867;1.8680529594421387
1.3893271684646606;1.9084646701812744;1.0146782398223877;3.491813898086548;1.0505690574645996;2.8103649616241455;1.2390450239181519;2.7161660194396973;1.2646152973175049;1.8208945989608765
1.3811653852462769;1.943272352218628;1.0049207210540771;3.6506409645080566;1.043312430381775;2.7220449447631836;1.2469701766967773;2.7371089458465576;1.2538560628890991;1.87212073802948
1.377938985824585;1.9220561981201172;1.01789128780365;3.6277334690093994;1.0357297658920288;2.6629557609558105;1.235697627067566;2.7747340202331543;1.260806918144226;1.84498929977417
1.3687994480133057;1.9119831323623657;1.010321021080017;3.496020793914795;1.008122444152832;2.6055712699890137;1.2186044454574585;2.68361234664917;1.2593504190444946;1.8647558689117432
1.359147310256958;1.924839973449707;0.9893913269042969;3.5027482509613037;1.0109645128250122;2.5425682067871094;1.197683334350586;2.696833372116089;1.2535121440887451;1.8870962858200073
