x,ULA,dilation,tempering,diffusion,daz
-2.7060237,0.0034738358,0.013925986,0.0069504525,0.003473141,0.003473141
-2.648439,0.020843016,0.0034814966,0.013900905,0.003473141,0.010419424
-2.5908542,0.017369179,0.03133347,0.0034752262,0.010419424,0.013892564
-2.5332694,0.045159865,0.03829646,0.02780181,0.020838847,0.017365705
-2.4756846,0.1354796,0.09400041,0.0799302,0.04515083,0.052097116
-2.4180999,0.26748535,0.18800081,0.13553382,0.09724794,0.09030166
-2.360515,0.43770328,0.35859415,0.23284017,0.11114051,0.18407647
-2.3029304,0.67045027,0.51178,0.399651,0.19796903,0.20838846
-2.2453456,0.92056644,0.7694107,0.64639205,0.46192774,0.2535393
-2.1877608,1.2505809,1.1523753,0.99391466,0.43414262,0.38899177
-2.130176,1.6257619,1.4935683,1.1781065,0.5383391,0.37857395
-2.0725915,1.8758713,1.5144509,1.2962594,0.6633699,0.56264883
-2.0150068,1.98703,1.7964486,1.3692364,0.7050462,0.52097005
-1.9574219,1.8307114,1.6989703,1.2337053,0.63905793,0.5765414
-1.8998371,1.6639673,1.500525,1.3032098,0.6529505,0.517498
-1.8422525,1.4937525,1.3647494,0.8722836,0.47582132,0.47582132
-1.7846677,1.0699414,1.009634,0.76107454,0.3820455,0.40983066
-1.727083,0.83372056,0.77985525,0.63596636,0.31952897,0.22575417
-1.6694982,0.486337,0.45607606,0.37879965,0.19449589,0.17018391
-1.6119134,0.35780507,0.34466818,0.24326582,0.14934507,0.06598968
-1.5543287,0.17369178,0.15318584,0.14943473,0.06946282,0.09030166
-1.4967439,0.10421507,0.083555914,0.076454975,0.03125827,0.03125827
-1.4391592,0.06600288,0.03133347,0.017376132,0.013892564,0.013892564
-1.3815744,0.010421508,0.017407482,0.017376132,0.006946282,0.0
-1.3239896,0.0069476715,0.0,0.0,0.0,0.003473141
-1.2664049,0.0,0.0034814966,0.0,0.0,0.003473141
-1.2088201,0.006947686,0.0034815038,0.0,0.0,0.0
-1.1512355,0.0,0.0,0.0,0.0,0.0
