iter,TV_gt,ULA,dilation,tempering,diffusion,DAZ
0,0.06379978,1.5204501390457152,1.7576657772064208,1.6634654998779297,1.6384686470031737,1.5935421228408813
500,0.06090973,1.4006192922592162,1.6058815002441407,1.3278507709503173,1.347426700592041,1.2571482181549072
1000,0.05730474,1.4006060123443604,1.355803632736206,1.0276989936828613,1.1762271404266358,1.1191158294677734
1500,0.059888203,1.4007158279418945,1.2154495239257812,0.8593462467193603,0.9482047438621521,0.9801615238189697
2000,0.065786205,1.4006431341171264,1.1795635938644409,0.8042968273162842,0.7523673295974731,0.8357659697532653
2500,0.059678316,1.4005982875823975,1.1765770673751832,0.7945365190505982,0.5931686997413635,0.6936316847801208
3000,0.060483195,1.400621271133423,1.175937795639038,0.7939036011695861,0.4584909021854401,0.5725835800170899
3500,0.052196234,1.4005902290344239,1.176206350326538,0.7935219168663025,0.3680970966815948,0.4846609890460968
4000,0.0544868,1.4007404327392579,1.1757771015167235,0.7932640910148621,0.29950230717659,0.44412190914154054
4500,0.0566792,1.4006018161773681,1.1760035037994385,0.7915953874588013,0.260028550028801,0.4386809468269348
5000,0.059727646,1.4006338834762573,1.1759194135665894,0.7925032258033753,0.2314344763755798,0.44120635986328127
5500,0.06279815,1.4007198333740234,1.1760648727416991,0.7926275372505188,0.22668634057044978,0.4336625933647156
6000,0.058140695,1.400784158706665,1.176235842704773,0.7926874876022338,0.22750692069530487,0.4368225634098053
6500,0.059324235,1.4006698846817016,1.1759289026260376,0.7926102161407471,0.22104153037071222,0.4388981819152832
7000,0.057758205,1.4007829189300538,1.1760084152221677,0.7918323278427124,0.22271687090396877,0.43645224571228025
7500,0.060483225,1.4006542205810546,1.1761382579803468,0.7922515273094177,0.22309227883815766,0.4366960644721985
8000,0.053614497,1.4005745649337769,1.1760523796081543,0.7922744512557983,0.22246666550636288,0.4352273285388947
8500,0.06345771,1.400679588317871,1.1759678840637207,0.7928005933761597,0.2241083025932311,0.4381745994091034
9000,0.056358576,1.4006945610046386,1.1762680292129517,0.7931476831436157,0.22031608819961543,0.4409275233745575
9500,0.057041775,1.4006609916687012,1.1761632919311524,0.7924724221229553,0.22395365834236142,0.43500992059707644
10000,0.05388547,1.4007524013519288,1.1761971473693849,0.7927029967308045,0.22351558208465577,0.4353645443916321
10500,0.05365505,1.400609540939331,1.176259207725525,0.7923057079315186,0.22126495838165278,0.43587949872016907
11000,0.064817436,1.4006787300109864,1.176396656036377,0.7926190137863159,0.22241440415382385,0.43375418782234193
11500,0.057718612,1.400649857521057,1.1761357307434082,0.7929275870323181,0.22004410028457638,0.4386940062046051
12000,0.058530234,1.400593090057373,1.176292896270752,0.7927589654922486,0.22036323249340053,0.43577446341514586
