x,ULA,dilation,tempering,diffusion,daz
-2.7060237,0.0034738358,0.003482893,0.0,0.003473141,0.0034745308
-2.648439,0.0069476715,0.0,0.0069490615,0.013892564,0.010423592
-2.5908542,0.020843016,0.013931572,0.020847185,0.024311986,0.010423592
-2.5332694,0.069476716,0.048760504,0.027796246,0.041677695,0.020847185
-2.4756846,0.14242727,0.10448679,0.08686327,0.04862397,0.059067022
-2.4180999,0.26053768,0.17762755,0.13203217,0.11114051,0.111184984
-2.360515,0.32654056,0.30301172,0.27796248,0.19449589,0.18067561
-2.3029304,0.6044474,0.53288263,0.4169437,0.24311988,0.19804825
-2.2453456,0.9031973,0.8219628,0.6115174,0.31952897,0.30228418
-2.1877608,1.3374267,1.1180087,0.80956566,0.38899177,0.43431637
-2.130176,1.5250202,1.3861972,1.10838,0.5834901,0.4377927
-2.0725915,1.8341852,1.5638189,1.1709169,0.5383369,0.5316032
-2.0150068,1.9418702,1.8111007,1.4384528,0.6077984,0.4864333
-1.9574219,1.966191,1.6717887,1.4975228,0.62863857,0.5211796
-1.8998371,1.7577609,1.5150585,1.2021877,0.56264883,0.52465415
-1.8422525,1.4902787,1.3966429,1.0110905,0.51055276,0.46211356
-1.7846677,1.2158425,1.1528376,0.84778553,0.49665916,0.3057587
-1.727083,0.76077,0.72444177,0.5906703,0.3056364,0.24321716
-1.6694982,0.57665676,0.4597419,0.3266059,0.18754962,0.16330294
-1.6119134,0.27443302,0.30997747,0.23626809,0.16671078,0.104235925
-1.5543287,0.17369178,0.1497644,0.12160858,0.10072109,0.06254155
-1.4967439,0.07989822,0.08010654,0.090337805,0.059043396,0.04169437
-1.4391592,0.05905521,0.03482893,0.024321716,0.041677695,0.017372655
-1.3815744,0.017369179,0.017414466,0.013898123,0.017365705,0.020847185
-1.3239896,0.013895343,0.003482893,0.0034745308,0.020838847,0.0069490615
-1.2664049,0.0,0.006965786,0.0,0.006946282,0.0034745308
-1.2088201,0.0,0.0,0.0,0.0034731482,0.0
-1.1512355,0.0,0.0,0.0,0.0,0.0
-1.0936507,0.0,0.0,0.0,0.0,0.0
-1.0360659,0.0,0.003482893,0.0,0.0,0.0
-0.9784812,0.0,0.0,0.0,0.0,0.0
-0.9208964,0.0,0.0,0.0,0.0,0.0
-0.86331165,0.0,0.0,0.0,0.0,0.0
-0.8057269,0.0,0.0,0.0,0.0,0.0
-0.7481421,0.0,0.0,0.0,0.0,0.0
-0.6905574,0.0,0.0,0.0,0.003473141,0.0
-0.63297266,0.0,0.0,0.0,0.0,0.0
-0.5753879,0.0,0.0,0.0,0.003473141,0.0034745308
-0.51780313,0.0,0.0,0.0,0.0,0.0069490653
-0.4602184,0.0,0.0,0.0,0.020838847,0.010423592
-0.40263364,0.0,0.0,0.0,0.03125827,0.04169437
-0.3450489,0.0,0.0034828947,0.0069490653,0.048623998,0.1598285
-0.28746414,0.0,0.006965786,0.0069490615,0.20144218,0.25711527
-0.22987938,0.0,0.03482894,0.07643969,0.41330388,0.4933835
-0.17229465,0.0,0.07662366,0.25364083,0.6598969,0.84431124
-0.114709884,0.0,0.21245651,0.4551636,0.8161882,1.0944774
-0.057125136,0.0,0.22987099,0.7053299,1.0870934,1.4210835
0.000459617,0.0,0.3866012,0.99024147,1.2190728,1.646928
0.058044367,0.0,0.31694335,0.66363555,1.0836202,1.3585418
0.1156292,0.003473826,0.20897299,0.43778965,0.8266052,1.2369294
0.17321405,0.0,0.10448682,0.21542098,0.586961,0.7782951
0.23079878,0.0,0.031346045,0.12508313,0.39246505,0.548976
0.28838354,0.0,0.006965786,0.0069490615,0.18407647,0.2710134
0.3459683,0.0,0.0034828947,0.0034745326,0.11808686,0.09033785
0.40355304,0.0,0.0,0.0,0.03473141,0.08686327
0.46113777,0.0,0.0,0.0,0.0034731426,0.03127079
0.51872253,0.0,0.0,0.0,0.003473141,0.013898123
0.5763073,0.0,0.0,0.0,0.0,0.0
0.63389206,0.0,0.0,0.0,0.0,0.0
0.6914768,0.0,0.0,0.0,0.0,0.0
0.7490616,0.0,0.0,0.0,0.0,0.0
0.8066463,0.0,0.0,0.0,0.0,0.0
0.86423105,0.0,0.0,0.0,0.0,0.0
0.9218158,0.0,0.0,0.0,0.0,0.0
0.9794005,0.0,0.0,0.0,0.0,0.0
1.0369853,0.0,0.0,0.0,0.0,0.0
1.09457,0.0,0.0,0.0034745308,0.003473141,0.0069490615
1.1521548,0.0,0.0,0.0,0.013892564,0.0034745308
1.2097396,0.0,0.0,0.013898123,0.003473141,0.0069490615
1.2673243,0.0,0.003482893,0.0069490615,0.020838847,0.0034745308
1.3249091,0.0,0.003482893,0.010423592,0.041677695,0.010423592
1.3824939,0.0,0.003482893,0.0034745308,0.041677695,0.017372655
1.4400786,0.0,0.0,0.027796246,0.03125827,0.017372655
1.4976633,0.0,0.0069658007,0.01737269,0.08335556,0.027796304
1.555248,0.0,0.010448679,0.03474531,0.1354525,0.03821984
1.6128328,0.0,0.003482893,0.045168903,0.09030166,0.07643968
1.6704175,0.0,0.010448679,0.06254155,0.14587192,0.052117962
1.7280023,0.0,0.006965786,0.07296515,0.16323763,0.066016085
1.7855871,0.0,0.020897359,0.07296515,0.19449589,0.12855764
1.8431718,0.0,0.041794717,0.09381233,0.2535393,0.1355067
1.9007566,0.0,0.013931572,0.15287936,0.24311988,0.13898124
1.9583414,0.0,0.024380252,0.090337805,0.26743186,0.08686327
2.0159261,0.0,0.013931572,0.07991421,0.26743186,0.10076139
2.073511,0.0,0.027863145,0.07296515,0.2118616,0.12160858
2.1310956,0.0,0.017414466,0.07643968,0.22575417,0.097286865
2.1886804,0.0,0.020897359,0.10076139,0.20491533,0.12855764
2.2462652,0.0,0.027863145,0.08338874,0.16671078,0.097286865
2.30385,0.0,0.031346038,0.06949062,0.15629134,0.07991421
2.3614347,0.0,0.010448679,0.031270776,0.11461365,0.055592492
2.4190192,0.0,0.006965815,0.038219996,0.10766782,0.059067268
2.476604,0.0,0.006965786,0.027796246,0.07293596,0.048643433
2.5341887,0.0,0.010448679,0.017372655,0.059043396,0.03821984
2.5917735,0.0,0.006965786,0.0034745308,0.024311986,0.024321716
2.6493583,0.0,0.0,0.013898123,0.006946282,0.013898123
2.706943,0.0,0.0,0.010423592,0.020838847,0.0034745308
2.7645278,0.0,0.0,0.0069490615,0.020838847,0.010423592
2.8221126,0.0,0.0,0.0,0.003473141,0.0069490615
2.8796973,0.0,0.0,0.0,0.003473141,0.0034745308
2.937282,0.0,0.0,0.0034745308,0.0,0.0
2.9948668,0.0,0.0,0.0,0.0,0.0
