TV;KL
1.9999535083770752;13.89739990234375
1.400130271911621;1.2497199773788452
1.3998734951019287;1.2054716348648071
1.3997548818588257;1.2049975395202637
1.399922490119934;1.2055960893630981
1.3997045755386353;1.2058014869689941
1.3996800184249878;1.2042475938796997
1.3998734951019287;1.2053589820861816
1.3997161388397217;1.2044963836669922
1.3999004364013672;1.2053017616271973
1.3998324871063232;1.205042839050293
1.3999388217926025;1.205296277999878
1.3996589183807373;1.2048542499542236
1.3996798992156982;1.2045230865478516
1.3996800184249878;1.2051364183425903
1.3996590375900269;1.205005168914795
1.3998372554779053;1.205944299697876
1.3997769355773926;1.2061238288879395
1.4000065326690674;1.2047945261001587
1.399853229522705;1.204880714416504
1.3999731540679932;1.2060399055480957
1.3996800184249878;1.2045851945877075
1.3997275829315186;1.2061868906021118
1.3998324871063232;1.2051836252212524
1.399770736694336;1.207094669342041
1.3996919393539429;1.2048137187957764
1.3997032642364502;1.205335259437561
1.3998041152954102;1.2051526308059692
1.3997751474380493;1.2044869661331177
1.3997342586517334;1.2047498226165771
1.3999073505401611;1.205987811088562
1.39973783493042;1.205180048942566
1.399890661239624;1.2059777975082397
1.399861454963684;1.2055553197860718
1.3996953964233398;1.2046597003936768
1.3997983932495117;1.2051502466201782
1.3998006582260132;1.2052874565124512
1.3998090028762817;1.2049355506896973
1.3998324871063232;1.2063215970993042
1.3998780250549316;1.2059504985809326
1.3998645544052124;1.2063237428665161
1.399881362915039;1.2063921689987183
1.3997706174850464;1.2052335739135742
1.3997045755386353;1.2056890726089478
1.3998371362686157;1.2043144702911377
1.3997162580490112;1.205418348312378
1.399853229522705;1.204574465751648
1.3996734619140625;1.206176996231079
1.3998613357543945;1.2052102088928223
1.399985671043396;1.2058312892913818
1.39992356300354;1.2047500610351562
1.3998267650604248;1.2053885459899902
1.399867057800293;1.2048863172531128
1.3997408151626587;1.205270528793335
1.3998959064483643;1.2051256895065308
1.3997687101364136;1.2053321599960327
1.399844765663147;1.2055583000183105
1.400038242340088;1.2059433460235596
1.3998475074768066;1.204463005065918
1.3996589183807373;1.2039408683776855
1.4000146389007568;1.2059106826782227
1.400033712387085;1.205752968788147
1.399936556816101;1.2048594951629639
1.3999892473220825;1.2053412199020386
1.399786353111267;1.2051080465316772
1.3996837139129639;1.2050387859344482
1.3996679782867432;1.2049928903579712
1.399819254875183;1.205005168914795
1.3997352123260498;1.2054767608642578
1.399895429611206;1.2055890560150146
1.3997132778167725;1.2050572633743286
1.3998286724090576;1.2048994302749634
1.3998998403549194;1.2047964334487915
1.4000800848007202;1.2064628601074219
1.399677038192749;1.2050390243530273
1.3996590375900269;1.2049328088760376
1.39973783493042;1.205562710762024
1.3997300863265991;1.205322504043579
1.3996490240097046;1.2051156759262085
1.3997313976287842;1.2051862478256226
1.3998810052871704;1.2050920724868774
1.3996591567993164;1.2055779695510864
1.3998324871063232;1.205228328704834
1.3998371362686157;1.2050011157989502
1.3996798992156982;1.2058634757995605
1.3997163772583008;1.2046184539794922
1.4000545740127563;1.2051234245300293
1.3999457359313965;1.205176830291748
1.399770736694336;1.204543948173523
1.4000053405761719;1.2061413526535034
1.3997204303741455;1.205629825592041
1.3998475074768066;1.2051998376846313
1.399912714958191;1.205519676208496
1.3998985290527344;1.205382227897644
1.399768590927124;1.2061223983764648
1.3997802734375;1.2051037549972534
1.3998327255249023;1.2056519985198975
1.3998525142669678;1.2055720090866089
1.3999989032745361;1.205642580986023
1.3998408317565918;1.2046968936920166
1.3997091054916382;1.2053567171096802
1.3998324871063232;1.205201268196106
1.3996801376342773;1.2042280435562134
1.3996837139129639;1.2048286199569702
1.3999193906784058;1.205837368965149
1.4000955820083618;1.2057520151138306
1.399708867073059;1.2054154872894287
1.3998496532440186;1.2051976919174194
1.399945855140686;1.205371618270874
1.3998091220855713;1.2046271562576294
1.3996590375900269;1.2051875591278076
1.399777889251709;1.2047269344329834
1.3997342586517334;1.2049542665481567
1.3996763229370117;1.2052452564239502
1.3998585939407349;1.2055526971817017
1.399837613105774;1.2057900428771973
1.399688959121704;1.2043778896331787
1.3998868465423584;1.2051435708999634
1.3996800184249878;1.205293893814087
1.3999269008636475;1.2056442499160767
1.3996798992156982;1.2050658464431763
1.3999099731445312;1.204962968826294
1.3996936082839966;1.205297827720642
1.3998305797576904;1.2051308155059814
1.3997299671173096;1.205607295036316
1.399923324584961;1.205094814300537
1.3998115062713623;1.2050611972808838
1.3998655080795288;1.2060033082962036
1.3996800184249878;1.204796552658081
1.399741768836975;1.2051903009414673
1.399741768836975;1.2053650617599487
1.3997418880462646;1.2055320739746094
1.3997353315353394;1.2058751583099365
1.3999525308609009;1.205207109451294
1.3999168872833252;1.2053382396697998
1.400046467781067;1.2057806253433228
1.3997498750686646;1.2050628662109375
1.399771809577942;1.205267310142517
1.3998868465423584;1.2045024633407593
1.399927020072937;1.205880880355835
1.3996591567993164;1.2046512365341187
1.3997937440872192;1.2061604261398315
1.3997342586517334;1.2046841382980347
1.3997336626052856;1.2051080465316772
1.3997039794921875;1.205575704574585
1.3998627662658691;1.2051407098770142
1.399807095527649;1.2050845623016357
1.399726390838623;1.2053977251052856
1.3997299671173096;1.2049875259399414
1.3999309539794922;1.2058334350585938
1.3999214172363281;1.204983115196228
1.3998252153396606;1.2059686183929443
1.3996953964233398;1.2052706480026245
1.3997163772583008;1.2046728134155273
1.399778127670288;1.204654335975647
1.3999193906784058;1.2053334712982178
1.3997162580490112;1.2050822973251343
1.3998868465423584;1.2069119215011597
1.3998191356658936;1.2043756246566772
1.3996953964233398;1.2045111656188965
1.3998117446899414;1.204728364944458
1.3997334241867065;1.2056523561477661
