iter,diffusion,ULA,tempering,dilation,DAZ
637,0.0033680995,0.0033680995,0.20761044,0.9799197,0.008409527
644,0.003323472,0.003323472,0.20554829,0.97976613,0.008363615
650,0.0032859056,0.0032859056,0.20380154,0.9796336,0.008324858
657,0.0032428561,0.0032428561,0.2017876,0.97947794,0.008280311
663,0.0032066072,0.0032066072,0.20008151,0.9793436,0.00824269
670,0.0031650553,0.0031650553,0.19811422,0.97918576,0.008199443
677,0.003124277,0.003124277,0.19617139,0.97902673,0.008156867
683,0.003089924,0.003089924,0.19452524,0.97888947,0.008120899
690,0.0030505313,0.0030505313,0.1926267,0.97872823,0.008079531
696,0.0030173345,0.0030173345,0.19101791,0.97858906,0.008044572
703,0.002979255,0.002979255,0.18916228,0.97842556,0.008004357
709,0.0029471598,0.0029471598,0.18758968,0.9782845,0.007970361
716,0.0029103337,0.0029103337,0.18577562,0.9781187,0.007931243
723,0.0028741567,0.0028741567,0.18398343,0.97795177,0.007892686
729,0.0028436522,0.0028436522,0.18246429,0.9778076,0.0078600785
736,0.0028086388,0.0028086388,0.18071163,0.9776383,0.007822546
742,0.0027791092,0.0027791092,0.17922592,0.97749215,0.0077908076
749,0.0027452048,0.0027452048,0.17751163,0.9773205,0.007754261
756,0.0027118782,0.0027118782,0.17581753,0.9771476,0.007718227
762,0.00268376,0.00268376,0.17438129,0.97699827,0.0076877372
769,0.0026514663,0.0026514663,0.17272381,0.976823,0.0076526185
775,0.0026242144,0.0026242144,0.17131849,0.97667164,0.007622893
782,0.0025929096,0.0025929096,0.16969657,0.97649384,0.0075886496
788,0.0025664861,0.0025664861,0.16832127,0.9763404,0.0075596664
795,0.002536126,0.002536126,0.16673389,0.97616017,0.0075262627
802,0.002506259,0.002506259,0.1651647,0.9759786,0.0074933004
808,0.0024810415,0.0024810415,0.16383392,0.9758219,0.0074653933
815,0.002452058,0.002452058,0.16229773,0.9756378,0.007433222
821,0.0024275826,0.0024275826,0.16099486,0.97547895,0.0074059763
828,0.0023994471,0.0023994471,0.15949076,0.97529227,0.0073745637
834,0.0023756826,0.0023756826,0.15821497,0.9751313,0.0073479535
841,0.0023483566,0.0023483566,0.15674208,0.974942,0.0073172688
848,0.0023214612,0.0023214612,0.15528566,0.9747514,0.0072869654
854,0.0022987344,0.0022987344,0.15405013,0.9745869,0.007261291
861,0.002272597,0.002272597,0.15262358,0.97439367,0.0072316783
867,0.0022505126,0.0022505126,0.15141334,0.9742269,0.00720658
874,0.0022251091,0.0022251091,0.15001585,0.974031,0.007177629
880,0.002203639,0.002203639,0.1488302,0.97386193,0.00715309
887,0.00217894,0.00217894,0.14746103,0.97366333,0.0071247746
894,0.0021546085,0.0021546085,0.14610675,0.97346324,0.007096791
900,0.00213404,0.00213404,0.14495768,0.97329056,0.0070730685
907,0.002110371,0.002110371,0.14363058,0.9730877,0.007045692
913,0.0020903593,0.0020903593,0.14250447,0.9729127,0.0070224777
920,0.0020673294,0.0020673294,0.14120382,0.9727071,0.0069956803
926,0.0020478552,0.0020478552,0.14010009,0.97252965,0.0069729565
933,0.0020254392,0.0020254392,0.13882522,0.9723212,0.0069467193
940,0.0020033452,0.0020033452,0.13756394,0.9721112,0.0069207815
946,0.0019846582,0.0019846582,0.13649353,0.97192997,0.0068987757
953,0.0019631437,0.0019631437,0.13525699,0.9717171,0.0068733674
959,0.0019449437,0.0019449437,0.13420753,0.9715334,0.006851809
966,0.001923989,0.001923989,0.13299517,0.97131765,0.0068269125
972,0.0019062613,0.0019062613,0.13196614,0.9711315,0.006805786
979,0.0018858458,0.0018858458,0.1307773,0.97091275,0.0067813867
986,0.0018657121,0.0018657121,0.12960088,0.9706924,0.0067572515
992,0.0018486754,0.0018486754,0.1286023,0.9705022,0.0067367614
999,0.0018290529,0.0018290529,0.1274485,0.97027886,0.006713099
1005,0.001812447,0.001812447,0.12646915,0.97008616,0.0066930107
1012,0.0017933166,0.0017933166,0.12533742,0.9698597,0.0066697947
1018,0.0017771256,0.0017771256,0.124376774,0.96966434,0.006650086
1025,0.0017584722,0.0017584722,0.12326666,0.96943486,0.006627329
1032,0.0017400684,0.0017400684,0.122167885,0.96920365,0.0066048037
1038,0.001724489,0.001724489,0.12123517,0.96900415,0.0065856646
1045,0.001706537,0.001706537,0.12015731,0.96876985,0.0065635433
1051,0.0016913385,0.0016913385,0.11924216,0.9685676,0.006544764
1058,0.0016738239,0.0016738239,0.11818458,0.96833,0.0065230634
1064,0.0016589935,0.0016589935,0.117286645,0.9681251,0.006504626
1071,0.0016419018,0.0016419018,0.116248734,0.96788436,0.0064833187
1078,0.001625031,0.001625031,0.11522136,0.96764183,0.0064622136
1084,0.0016107443,0.0016107443,0.11434904,0.9674325,0.006444292
1091,0.0015942758,0.0015942758,0.11334075,0.9671867,0.0064235684
1097,0.001580328,0.001580328,0.112484604,0.9669746,0.006405962
1104,0.0015642488,0.0015642488,0.11149499,0.9667254,0.006385605
1111,0.0015483737,0.0015483737,0.11051528,0.9664745,0.0063654403
1117,0.001534927,0.001534927,0.109683305,0.96625787,0.0063483077
1124,0.001519422,0.001519422,0.1087216,0.96600354,0.006328493
1130,0.001506288,0.001506288,0.10790487,0.9657841,0.0063116555
1137,0.0014911419,0.0014911419,0.106960766,0.9655262,0.0062921834
1143,0.0014783114,0.0014783114,0.106158964,0.9653037,0.0062756315
1150,0.0014635136,0.0014635136,0.10523207,0.9650424,0.006256485
1157,0.001448898,0.001448898,0.10431429,0.96477926,0.0062375157
1163,0.0014365132,0.0014365132,0.10353479,0.96455216,0.006221392
1170,0.0014222288,0.0014222288,0.10263365,0.96428543,0.00620274
1176,0.0014101244,0.0014101244,0.10186824,0.96405524,0.0061868834
1183,0.0013961629,0.0013961629,0.10098336,0.9637849,0.00616854
1189,0.0013843318,0.0013843318,0.10023174,0.9635516,0.0061529437
