x,ULA,dilation,tempering,diffusion,daz
-2.7060237,0.0,0.0,0.0,0.014041402,0.0927457
-2.648439,0.0,0.0,0.0,0.049144913,0.12613416
-2.5908542,0.020838847,0.0,0.0,0.03861386,0.12984398
-2.5332694,0.07988224,0.0037999356,0.0,0.017551754,0.12984398
-2.4756846,0.1354525,0.011399806,0.0,0.05265526,0.13726364
-2.4180999,0.25006616,0.0,0.0,0.06669666,0.1187145
-2.360515,0.4237232,0.0,0.0,0.070207015,0.17436191
-2.3029304,0.62863857,0.0,0.0,0.05967596,0.17065209
-2.2453456,0.9690063,0.0037999356,0.0,0.09126911,0.10758501
-2.1877608,1.135717,0.0,0.0,0.10882087,0.1335538
-2.130176,1.5768126,0.0,0.0034745452,0.11233168,0.12242483
-2.0725915,1.8581305,0.0037999356,0.0034745308,0.11935192,0.17807175
-2.0150068,2.021364,0.0,0.0034745235,0.10179996,0.12984371
-1.9574219,1.8581305,0.0,0.010423592,0.12286227,0.15952261
-1.8998371,1.6914197,0.018999677,0.020847185,0.17902789,0.12613416
-1.8422525,1.5837556,0.041799378,0.027796304,0.10180038,0.15210326
-1.7846677,1.2051799,0.06839884,0.04169437,0.17902789,0.14097346
-1.727083,0.77451044,0.117798,0.08686327,0.18253823,0.14468329
-1.6694982,0.5001323,0.23179606,0.17025201,0.16147614,0.18178158
-1.6119134,0.34384096,0.3495941,0.20499733,0.17200719,0.14468329
-1.5543287,0.17713019,0.5129913,0.2918606,0.16849683,0.11129484
-1.4967439,0.06946282,0.57379025,0.2605898,0.15094508,0.1187145
-1.4391592,0.03820455,0.6915882,0.42041823,0.21413139,0.1335538
-1.3815744,0.017365705,0.938584,0.5316032,0.21062104,0.14097346
-1.3239896,0.0,0.9879832,0.61499196,0.16498649,0.077906385
-1.2664049,0.0,1.0449822,0.46558714,0.18253823,0.07419656
-1.2088201,0.0,0.83598757,0.5906715,0.1930697,0.089036055
-1.1512355,0.0,0.6915882,0.4412654,0.2351935,0.13726364
-1.0936507,0.0,0.56999034,0.37872386,0.22115208,0.1187145
-1.0360659,0.003473141,0.41799292,0.32313138,0.22466244,0.20033072
-0.9784812,0.0,0.235596,0.22236997,0.2351935,0.18178158
-0.9208964,0.0,0.11399806,0.21889545,0.2983798,0.19291106
-0.86331165,0.0,0.083598584,0.13203217,0.21413139,0.2522683
-0.8057269,0.0,0.0645989,0.09381233,0.22115208,0.2522683
-0.7481421,0.0,0.026599575,0.069490686,0.3089112,0.20033093
-0.6905574,0.0,0.011399806,0.045168903,0.2351935,0.24855848
-0.63297266,0.0,0.0037999356,0.0069490615,0.27029702,0.23371917
-0.5753879,0.0,0.0037999356,0.013898123,0.29486948,0.367273
-0.51780313,0.0,0.0,0.0138981305,0.28082818,0.29307657
-0.4602184,0.0,0.0,0.0034745308,0.28082806,0.36356315
-0.40263364,0.0,0.0,0.0069490615,0.25976595,0.3153354
-0.3450489,0.0,0.0037999374,0.03127079,0.22817293,0.38953215
-0.28746414,0.0,0.022799611,0.07296515,0.29486948,0.39324176
-0.22987938,0.0,0.045599237,0.2188955,0.27029708,0.30049616
-0.17229465,0.0,0.22419624,0.31965694,0.28784883,0.43405
-0.114709884,0.0,0.3913934,0.5976194,0.2667867,0.389532
-0.057125136,0.0,0.5775903,0.9242254,0.27731776,0.37840253
0.000459617,0.0,0.55099076,0.8269385,0.28433847,0.38211238
0.058044367,0.003473142,0.61938965,0.79566777,0.30891097,0.40808117
0.1156292,0.0,0.3837924,0.6462609,0.3615651,0.37840137
0.17321405,0.0,0.16719721,0.32660598,0.26678672,0.34872392
0.23079878,0.0,0.04939917,0.2397427,0.28082812,0.34501413
0.28838354,0.0,0.022799611,0.07643968,0.27380735,0.35985333
0.3459683,0.0,0.007599875,0.03127079,0.23168327,0.33759454
0.40355304,0.0,0.0037999356,0.03474531,0.30540052,0.32646486
0.46113777,0.0,0.007599875,0.06254158,0.31242135,0.32646504
0.51872253,0.0,0.007599871,0.06949062,0.2773177,0.3042059
0.5763073,0.0,0.015199742,0.08338874,0.24572454,0.29678625
0.63389206,0.0,0.037999354,0.12160858,0.25976595,0.28194693
0.6914768,0.0,0.06079897,0.16677748,0.22466244,0.24113882
