iter,KL_gt,ULA,dilation,tempering,diffusion,DAZ
0,0.0048248367,3.75802857875824,4.74874050617218,4.876723980903625,6.091685461997986,6.096840214729309
500,0.0041834074,1.21022527217865,1.1608299493789673,1.0319936513900756,0.3682326853275299,0.3737844407558441
1000,0.004439451,1.2095980882644652,1.1612907648086548,1.0317618370056154,0.3644817233085632,0.36841540336608886
1500,0.0041978983,1.210248637199402,1.161324954032898,1.031972074508667,0.36412178277969354,0.368455296754837
2000,0.004953733,1.2105693578720094,1.161217451095581,1.0314236640930177,0.3647039830684662,0.369976270198822
2500,0.0048232027,1.2098601102828979,1.1612414121627808,1.0317946434020997,0.3640791893005371,0.36724900603294375
3000,0.0046973834,1.2104471683502198,1.1611711263656617,1.0330395460128785,0.3657296240329742,0.3671648025512695
3500,0.0045245504,1.2099879026412963,1.1598666906356812,1.0316277027130127,0.3649048149585724,0.36667166352272035
4000,0.0044186725,1.2101936101913453,1.1610610246658326,1.0330307006835937,0.36424293518066403,0.36811001896858214
4500,0.0044106757,1.209306001663208,1.1608999252319336,1.0313075304031372,0.36467186808586116,0.3676902651786804
5000,0.004216793,1.2099279403686523,1.1604511737823486,1.031524419784546,0.36407511234283446,0.3666502296924591
5500,0.004224369,1.210890030860901,1.1617152452468873,1.0321036100387573,0.3641605377197265,0.3689095258712768
6000,0.0046111154,1.2103039264678954,1.1612826585769653,1.0331697940826416,0.3643932640552521,0.3671112179756164
6500,0.004280763,1.2105442762374878,1.162019634246826,1.0331711053848267,0.36387835741043084,0.3676618874073029
7000,0.004042952,1.21064293384552,1.161742877960205,1.0315830707550049,0.36411205530166624,0.3681392431259155
7500,0.004091154,1.2101421356201172,1.1608853340148926,1.0328072547912597,0.3630691111087799,0.367325484752655
8000,0.0047373236,1.2097616910934448,1.1619235277175903,1.0327022790908813,0.362657481431961,0.36697241663932795
8500,0.003979808,1.2102165937423706,1.1605200052261353,1.031397318840027,0.3647885501384735,0.36698112487792967
9000,0.0045203376,1.2101542472839355,1.1616798400878907,1.0317558288574218,0.36325603723525995,0.3672168731689453
9500,0.004464431,1.2101901292800903,1.1616930723190309,1.032415246963501,0.3651272773742676,0.36680207848548885
10000,0.0042712963,1.209795928001404,1.1609530448913574,1.0326376914978028,0.3630768954753875,0.36743950843811035
10500,0.004519922,1.2097763776779176,1.160993504524231,1.0319523811340332,0.36352682709693906,0.3662249386310577
11000,0.00372204,1.2102999687194824,1.1616779804229735,1.0330365419387817,0.3630909979343414,0.3672074377536773
11500,0.004178919,1.2099300384521485,1.1607585668563842,1.0329269409179687,0.3640028655529022,0.3679364144802093
12000,0.004402353,1.209952473640442,1.1602164030075073,1.0323908090591432,0.3644042789936065,0.3672967433929443
12500,0.0048370576,1.210529613494873,1.1623745679855346,1.0323270082473754,0.3644239544868469,0.36678666472434995
13000,0.0040623895,1.2106036901474,1.1603007078170777,1.0319098949432373,0.36406868696212763,0.3666948497295379
13500,0.004306102,1.2108962535858154,1.161451244354248,1.0321898698806762,0.3642647683620453,0.36741781830787656
14000,0.0041197706,1.2098975658416748,1.1616567373275757,1.0315675020217896,0.36345036029815675,0.3662751317024231
14500,0.0042167376,1.2106076002120971,1.1603146314620971,1.0320167779922484,0.36386417746543886,0.36554892659187316
15000,0.00436882,1.2101019859313964,1.1617928743362427,1.0317330360412598,0.36370904445648194,0.3652537882328033
15500,0.0043416317,1.210727047920227,1.1607597589492797,1.031983208656311,0.3644041717052459,0.3643471777439117
16000,0.0048365756,1.2105584859848022,1.1613519430160522,1.0324538707733155,0.3636583387851715,0.36324464678764345
16500,0.0045157955,1.2090618133544921,1.161384391784668,1.0319958448410034,0.3640606224536896,0.36309505105018614
17000,0.0039328253,1.2103832006454467,1.1619933605194093,1.0316481351852418,0.3637196123600006,0.3634564280509948
17500,0.0039763106,1.2097333908081054,1.1611741781234741,1.0323220014572143,0.36427118182182305,0.3630166530609131
18000,0.0040409984,1.2105113983154296,1.1608407258987428,1.033050775527954,0.36414492726325987,0.36252735257148744
18500,0.004778383,1.2095106363296508,1.1604310989379882,1.0316232204437257,0.3631871938705444,0.3630704700946808
19000,0.0043573636,1.2098698139190673,1.1607868194580078,1.0329882144927978,0.36487208008766175,0.3631639897823334
19500,0.004496206,1.209877610206604,1.1609272241592408,1.0326374053955079,0.3636666476726532,0.36274988651275636
20000,0.004478314,1.210314106941223,1.1618595361709594,1.0321028232574463,0.36328266263008113,0.362696236371994
20500,0.003897592,1.21040518283844,1.1615758657455444,1.0313385248184204,0.3642392516136169,0.36164939403533936
21000,0.004365551,1.2103447914123535,1.1610703706741332,1.031046485900879,0.3652023553848266,0.36296279430389405
21500,0.0044656587,1.2099674224853516,1.1608086824417114,1.0324087858200073,0.36490278840065,0.36232153773307796
22000,0.0044565136,1.2103377819061278,1.1605571031570434,1.0318085193634032,0.36387614607810975,0.3618612468242645
22500,0.004373246,1.2108122825622558,1.1608511686325074,1.0308639526367187,0.36413920521736143,0.3614656746387482
23000,0.0045017297,1.2100444078445434,1.1620215892791748,1.032688021659851,0.36370517015457154,0.36408277153968804
23500,0.004024707,1.2105907917022705,1.16150860786438,1.0322650909423827,0.3622225821018219,0.3621057152748107
24000,0.0041351095,1.2111141681671143,1.1611794233322144,1.0322202920913697,0.36479301452636714,0.3630856394767761
24500,0.004537453,1.210520052909851,1.1622618436813354,1.0330636024475097,0.3645439326763153,0.3621738195419312
25000,0.0043738107,1.2096585512161255,1.1605300664901734,1.0322458267211914,0.36358176469802855,0.36102340221405027
25500,0.0044326624,1.2102691650390625,1.1621843814849853,1.0330129146575928,0.3633249580860138,0.3602051973342895
26000,0.0048621073,1.2094175577163697,1.1621133804321289,1.0324882745742798,0.3643915474414825,0.35997980237007143
26500,0.004717606,1.2102354288101196,1.1615610122680664,1.0319169521331788,0.3624584138393402,0.35874796509742735
27000,0.0050162803,1.2102160215377809,1.1620246171951294,1.031838631629944,0.3619620025157928,0.3586334109306335
27500,0.0043801805,1.2099577188491821,1.160693883895874,1.0326530933380127,0.36157312989234924,0.35914734005928034
28000,0.0040264768,1.2099117040634155,1.1608079195022583,1.0319671154022216,0.36065089702606196,0.359058678150177
28500,0.004362557,1.2097506523132324,1.1611505031585694,1.0317517280578614,0.3608007669448853,0.3583332180976867
29000,0.004472746,1.2102903127670288,1.1611697196960449,1.033529019355774,0.36009148955345155,0.3567154884338379
29500,0.0037371777,1.2101447105407714,1.1602378845214845,1.0312434673309325,0.3610295295715332,0.35694753527641293
30000,0.0041782185,1.2101932287216186,1.1613550662994385,1.0331095695495605,0.3607049703598022,0.358135849237442
30500,0.0042194803,1.211008358001709,1.160765027999878,1.0314820528030395,0.36013017892837523,0.3578427195549011
31000,0.004261511,1.2102736234664917,1.161677646636963,1.032598900794983,0.3603194236755371,0.35627622008323667
31500,0.0041304156,1.2096190214157105,1.1615888118743896,1.0322114467620849,0.36076575517654413,0.35708307027816766
32000,0.004283377,1.2099212884902955,1.161411428451538,1.0313664674758911,0.35961384177207945,0.35757035017013544
32500,0.004327967,1.2096608400344848,1.1620870351791381,1.032410740852356,0.360798168182373,0.3568974912166595
33000,0.0040149307,1.2103949785232544,1.1613831520080566,1.0321205854415894,0.35961622595787046,0.35920908451080324
33500,0.004325609,1.2100670337677002,1.1613712787628174,1.0321972131729127,0.35883726477622985,0.35648483633995054
34000,0.004144806,1.2102563619613647,1.1614835023880006,1.0325316667556763,0.3596059739589691,0.35709379911422723
34500,0.0039945394,1.2101420402526855,1.161206889152527,1.0324429273605347,0.3605015933513641,0.3566826045513153
35000,0.00441129,1.2102986812591552,1.161376667022705,1.031676435470581,0.36129814982414243,0.3570259690284729
35500,0.0046889237,1.2108990907669068,1.1612272024154664,1.0327889919281006,0.3592620611190796,0.3579178750514984
36000,0.004400108,1.2118048429489137,1.1613406181335448,1.0321018934249877,0.3607165336608886,0.35757378339767454
36500,0.004441575,1.2105526208877564,1.161326789855957,1.0319421529769897,0.360353273153305,0.3574462056159973
37000,0.0047277994,1.2106742143630982,1.1619540452957153,1.031756329536438,0.35839186906814574,0.35822620391845705
37500,0.0048350636,1.2102867841720581,1.1611191749572753,1.031190848350525,0.35741125941276547,0.3575923562049866
38000,0.0044548814,1.2105116605758668,1.1611796140670776,1.0315611362457275,0.35778037309646604,0.35716311931610106
38500,0.0043627275,1.210051679611206,1.1616252422332765,1.031798505783081,0.3577945291996002,0.35558096170425413
39000,0.004161532,1.2103742599487304,1.1610901355743408,1.0326972723007202,0.3578230559825897,0.3570589065551758
39500,0.0037859133,1.2101570606231689,1.1615109205245973,1.0334492683410645,0.3589938104152679,0.35652739405632017
40000,0.0038606543,1.2107921838760376,1.1617458820343018,1.0320805788040162,0.35816363692283626,0.3580675423145294
40500,0.0046454067,1.211965799331665,1.1623492240905762,1.0312097072601318,0.35703367590904234,0.3579706966876984
41000,0.0042479094,1.209935712814331,1.161113429069519,1.031119441986084,0.35773075222969053,0.356343936920166
41500,0.0045599923,1.2102383136749268,1.1622127056121827,1.032013201713562,0.35824224948883054,0.3564962923526763
42000,0.0043980707,1.2107768535614014,1.1610313415527345,1.0321420431137085,0.35596730113029473,0.35534358620643614
42500,0.0043487544,1.210618782043457,1.1617441177368164,1.0324423551559447,0.358349609375,0.35574644804000854
43000,0.0040484327,1.2097240447998048,1.1611307382583618,1.0316598892211915,0.3571575343608856,0.3551922857761383
43500,0.0039741686,1.2097896814346314,1.160350489616394,1.03213210105896,0.3572071254253387,0.3562901973724365
44000,0.004237355,1.2100833892822265,1.161154294013977,1.0323364734649658,0.356776875257492,0.35467817187309264
44500,0.0042545074,1.2105632305145264,1.1609715700149537,1.0308753728866578,0.35723324418067925,0.3555261135101318
45000,0.0047166296,1.2098338842391967,1.162511396408081,1.0320791721343994,0.3564852237701416,0.3556645512580871
45500,0.00397216,1.2103266716003418,1.1603127479553224,1.0320878267288207,0.35806275010108946,0.3547354280948639
46000,0.0047939345,1.210214376449585,1.1608156442642212,1.0324573278427125,0.35660656690597536,0.35614958405494684
46500,0.004510387,1.2100311517715454,1.16043860912323,1.0310637950897217,0.357119745016098,0.35563052296638487
