x,ULA,dilation,tempering,diffusion,daz
-2.7060237,0.0034738358,0.0,0.0,0.0,0.0
-2.648439,0.03126452,0.017365705,0.0034745308,0.010421508,0.006946282
-2.5908542,0.020843016,0.020838847,0.027796246,0.017369179,0.017365705
-2.5332694,0.05905521,0.04862397,0.06949062,0.048633702,0.027785128
-2.4756846,0.13895343,0.14587192,0.08338874,0.10074124,0.052097116
-2.4180999,0.21190399,0.19102275,0.18762466,0.12158425,0.11808679
-2.360515,0.36475274,0.42719632,0.37872386,0.22927316,0.12503308
-2.3029304,0.71561015,0.6529505,0.6010938,0.2987499,0.25006616
-2.2453456,0.9622525,0.85439265,1.0110885,0.45159864,0.31952897
-2.1877608,1.3652174,1.2781159,1.1361716,0.72255784,0.51402485
-2.130176,1.531968,1.6254367,1.5218508,0.7295085,0.50013435
-2.0725915,1.9175574,1.8025602,1.7372655,0.94488335,0.60432655
-2.0150068,1.8689197,2.049149,2.0048,1.0421486,0.73630434
-1.9574219,1.9036621,1.9275932,1.8970939,0.9622525,0.63558483
-1.8998371,1.6848104,1.7956139,1.525319,0.78161305,0.57306826
-1.8422525,1.5632293,1.3788399,1.414137,0.6496086,0.42025092
-1.7846677,1.0803629,1.08362,1.1465952,0.5940259,0.39246494
-1.727083,0.7920345,0.8405001,0.8060911,0.4585463,0.23964673
-1.6694982,0.5453922,0.46192774,0.4864343,0.232747,0.23270044
-1.6119134,0.28485453,0.26743186,0.2605898,0.21537782,0.1354525
-1.5543287,0.18758713,0.15629134,0.17720106,0.05905521,0.04862397
-1.4967439,0.06600288,0.11114051,0.12855764,0.020843016,0.020838847
-1.4391592,0.041686032,0.06251654,0.03474531,0.013895343,0.006946282
-1.3815744,0.010421508,0.013892564,0.0069490615,0.0069476715,0.006946282
-1.3239896,0.0069476715,0.003473141,0.013898123,0.0,0.0
-1.2664049,0.0034738358,0.0,0.0069490615,0.0,0.0
-1.2088201,0.003473843,0.0034731482,0.0,0.0,0.0
-1.1512355,0.0,0.0,0.0,0.0,0.0
-1.0936507,0.0,0.0,0.0,0.0,0.0
-1.0360659,0.0,0.0,0.0,0.0,0.0
-0.9784812,0.0,0.0,0.0,0.0,0.0
-0.9208964,0.0,0.0,0.0,0.0,0.0
-0.86331165,0.0,0.0,0.0,0.0,0.0
-0.8057269,0.0,0.0,0.0,0.0,0.0
-0.7481421,0.0,0.0,0.0,0.0,0.0
-0.6905574,0.0,0.0,0.0,0.0,0.0
-0.63297266,0.0,0.0,0.0,0.0,0.0
-0.5753879,0.0,0.0,0.0,0.0,0.0
-0.51780313,0.0,0.0,0.0,0.0,0.0
-0.4602184,0.0,0.0,0.0,0.0,0.003473141
-0.40263364,0.0,0.0,0.0,0.0,0.0
-0.3450489,0.0,0.0,0.0,0.0138953505,0.0069462853
-0.28746414,0.0,0.0,0.013898123,0.048633702,0.06598968
-0.22987938,0.0,0.003473142,0.010423595,0.16327032,0.1910228
-0.17229465,0.0,0.01736571,0.027796254,0.5280232,0.6807358
-0.114709884,0.0,0.010419425,0.09033782,1.0108863,1.4100955
-0.057125136,0.0,0.031258274,0.15287939,1.6396508,2.108197
0.000459617,0.0,0.027785134,0.1772011,1.8793455,2.6118026
0.058044367,0.0,0.01736571,0.093812354,1.6327032,1.9901104
0.1156292,0.0,0.027785048,0.07643946,0.99004036,1.403145
0.17321405,0.0,0.0104194265,0.034745317,0.4724418,0.5939073
0.23079878,0.0,0.0,0.02084719,0.18411334,0.21186166
0.28838354,0.0,0.0,0.0,0.03821219,0.052097116
