err_mean;err_cos1;err_cos2;err_cos3
1.3193202018737793;0.5414454340934753;0.4112919867038727;0.9872787594795227
0.23302674293518066;0.5866380929946899;0.38192039728164673;0.2588122487068176
0.23470239341259003;0.590321958065033;0.38755273818969727;0.2682441174983978
0.2311926931142807;0.5886731147766113;0.38705289363861084;0.26442384719848633
0.23527006804943085;0.5920088887214661;0.39002305269241333;0.2708183825016022
0.2365165799856186;0.5923716425895691;0.3925449550151825;0.2764892876148224
0.23455558717250824;0.5924739241600037;0.39102068543434143;0.2770287096500397
0.23588943481445312;0.5932154655456543;0.3914484977722168;0.2768467366695404
0.23376572132110596;0.5925852656364441;0.3947426974773407;0.27671048045158386
0.23503389954566956;0.5938578248023987;0.39561644196510315;0.2772095799446106
0.2341616004705429;0.5939710140228271;0.3978259563446045;0.27826178073883057
0.23350393772125244;0.5940307974815369;0.3963678777217865;0.2771998941898346
0.23676978051662445;0.5948871970176697;0.3947581946849823;0.27889275550842285
0.23804569244384766;0.5960407257080078;0.3957570195198059;0.2801370620727539
0.23690219223499298;0.5958337783813477;0.3951253294944763;0.27793747186660767
0.23726336658000946;0.5967403650283813;0.39744246006011963;0.27778664231300354
0.2378295212984085;0.5967544913291931;0.3972190320491791;0.27928993105888367
0.2374730110168457;0.5961163640022278;0.39632806181907654;0.27973172068595886
0.2363770306110382;0.5951017737388611;0.3967272639274597;0.2827549874782562
0.2371581643819809;0.5959453582763672;0.39554738998413086;0.28207799792289734
0.23803162574768066;0.5964905619621277;0.39580827951431274;0.28229978680610657
0.2378363460302353;0.5965325236320496;0.3957035541534424;0.28319916129112244
0.23779144883155823;0.5966876745223999;0.3950328230857849;0.27874788641929626
0.23700876533985138;0.5957437753677368;0.3996748924255371;0.28359028697013855
0.23903436958789825;0.5962148904800415;0.39864611625671387;0.2851947247982025
0.2387954294681549;0.5962435603141785;0.3984541893005371;0.2862466275691986
0.23858384788036346;0.59544438123703;0.39930960536003113;0.2857968807220459
0.23829279839992523;0.5953084826469421;0.40057164430618286;0.2865883409976959
0.23697510361671448;0.5951575636863708;0.3988734781742096;0.28509965538978577
0.23787669837474823;0.5952965021133423;0.3994288444519043;0.28623417019844055
0.23721180856227875;0.5950425267219543;0.3984422981739044;0.285632461309433
0.23733706772327423;0.595134437084198;0.3971514403820038;0.2864559590816498
0.23801155388355255;0.5952937602996826;0.39739853143692017;0.28585299849510193
0.2377907782793045;0.5962632298469543;0.39765164256095886;0.2868973910808563
