iter,ULA,dilation,tempering,diffusion,daz_scale1,daz_scale2
0,1.0391218662261963,1.0391218662261963,1.0391218662261963,1.0391218662261963,1.0391218662261963,1.1482961177825928
5,1.039098858833313,1.0390889644622805,0.808902382850647,0.5908259749412537,0.0134578859433531,0.7052374482154846
10,1.0381475687026978,1.0390580892562866,0.7925376892089844,0.6020566821098328,0.0220158509910106,0.6944777369499207
15,1.0381044149398804,1.039059042930603,0.777747631072998,0.6066441535949707,0.0203209426254034,0.695809006690979
20,1.038468599319458,1.0390669107437134,0.76626056432724,0.6052863001823425,0.0231430474668741,0.6922045350074768
25,1.0385836362838743,1.039060115814209,0.7568500638008118,0.5999050140380859,0.0233259927481412,0.6932345628738403
30,1.0391110181808472,1.0390944480895996,0.75169438123703,0.6002435684204102,0.0227764192968606,0.6958271861076355
35,1.0391603708267212,1.0390634536743164,0.7450151443481445,0.6026367545127869,0.023002365604043,0.6970469355583191
40,1.038909077644348,1.0390281677246094,0.7380391955375671,0.6031309366226196,0.0242786835879087,0.6937662363052368
45,1.0389827489852903,1.0390217304229736,0.7325320243835449,0.6020142436027527,0.0218273885548114,0.6946547031402588
50,1.0391870737075806,1.0389920473098757,0.7269071340560913,0.5995445251464844,0.0218884982168674,0.6919856667518616
55,1.0395115613937378,1.0390517711639404,0.7218585014343262,0.6013799905776978,0.0230631697922945,0.6938527822494507
60,1.0399214029312134,1.03906512260437,0.7157018184661865,0.5979768633842468,0.0252975057810544,0.6969278454780579
65,1.0402644872665403,1.0390560626983645,0.7113036513328552,0.599688708782196,0.0247792322188615,0.6947160959243774
70,1.0402196645736694,1.039104461669922,0.7077214121818542,0.5993730425834656,0.0253554172813892,0.6952778697013855
75,1.0401220321655271,1.0390185117721558,0.7029466032981873,0.5995089411735535,0.0259772576391696,0.6941834688186646
80,1.040496826171875,1.0390287637710571,0.6998175978660583,0.6019583940505981,0.0233519654721021,0.6939910650253296
85,1.040811538696289,1.0389937162399292,0.6968078017234802,0.5992006659507751,0.0265670306980609,0.6945412755012512
90,1.0404523611068726,1.0390257835388184,0.692938506603241,0.600699782371521,0.0250076632946729,0.6948257088661194
95,1.0402411222457886,1.039014458656311,0.6899353265762329,0.6029619574546814,0.0258359443396329,0.6967242360115051
100,1.0401684045791626,1.0390195846557615,0.6870223879814148,0.6037417054176331,0.0257502943277359,0.6964781284332275
105,1.0398224592208862,1.039005994796753,0.6834616661071777,0.6032495498657227,0.0249456763267517,0.6939471960067749
110,1.0398551225662231,1.0390456914901731,0.6807119846343994,0.6049267649650574,0.0261499229818582,0.6947949528694153
115,1.0400007963180542,1.0390199422836304,0.6783518195152283,0.6033475995063782,0.0238676276057958,0.6950901746749878
120,1.0396417379379272,1.0389262437820437,0.6755362749099731,0.6028420329093933,0.0248022060841321,0.6942562460899353
125,1.040283441543579,1.0389518737792969,0.6719672083854675,0.6043972373008728,0.025280786678195,0.6946293711662292
130,1.0398520231246948,1.0389270782470703,0.6679814457893372,0.6031118035316467,0.024523701518774,0.6939064860343933
135,1.0403159856796265,1.038964867591858,0.6657811999320984,0.6031610369682312,0.0247727092355489,0.6929101943969727
140,1.0401934385299685,1.03891921043396,0.6625840067863464,0.6012345552444458,0.0248201321810483,0.6942375302314758
145,1.03980553150177,1.0389295816421509,0.6605434417724609,0.6024806499481201,0.0264744106680154,0.6949206590652466
150,1.0393246412277222,1.0389868021011353,0.6573976874351501,0.6034255623817444,0.0246636476367712,0.6957356333732605
155,1.0384453535079956,1.0389320850372314,0.6559074521064758,0.6049861907958984,0.0236576907336711,0.695732057094574
160,1.0383189916610718,1.0389268398284912,0.6533343195915222,0.6054791212081909,0.0237751826643943,0.6957470178604126
165,1.0385814905166626,1.038917899131775,0.6519578099250793,0.6050430536270142,0.0223382413387298,0.6959957480430603
170,1.0392630100250244,1.038881540298462,0.6500231027603149,0.6047563552856445,0.0223768465220928,0.6953089833259583
175,1.039222002029419,1.0389435291290283,0.6473917365074158,0.6062696576118469,0.0215037837624549,0.6952624320983887
180,1.039157748222351,1.038944125175476,0.6457220315933228,0.6052509546279907,0.0212871823459863,0.6964422464370728
