TV;KL
1.999976396560669;13.91511344909668
1.4009946584701538;1.249013900756836
1.4004528522491455;1.2080349922180176
1.4005870819091797;1.2091751098632812
1.4004061222076416;1.20927095413208
1.400404453277588;1.2091343402862549
1.4003758430480957;1.210256814956665
1.4004853963851929;1.2089134454727173
1.4009969234466553;1.2118046283721924
1.400505781173706;1.2091069221496582
1.4004802703857422;1.2097973823547363
1.4005281925201416;1.210715413093567
1.4006898403167725;1.2098912000656128
1.4004061222076416;1.2083574533462524
1.4004859924316406;1.2086621522903442
1.4008147716522217;1.2094056606292725
1.4010412693023682;1.2091153860092163
1.400404453277588;1.2094430923461914
1.4003245830535889;1.2096614837646484
1.4007411003112793;1.209852695465088
1.4003758430480957;1.2089967727661133
1.4003639221191406;1.2104542255401611
1.4006686210632324;1.2105563879013062
1.400404453277588;1.207953691482544
1.400253415107727;1.2095516920089722
1.4004061222076416;1.207979440689087
1.400338053703308;1.2120678424835205
1.4004772901535034;1.2088054418563843
1.4008934497833252;1.2103252410888672
1.4009389877319336;1.2092008590698242
1.400848627090454;1.2106106281280518
1.4006597995758057;1.2092854976654053
1.4002265930175781;1.209463119506836
1.4003559350967407;1.2087076902389526
1.4003245830535889;1.2086706161499023
1.4006719589233398;1.2088875770568848
1.400388240814209;1.209665060043335
1.4004546403884888;1.2097111940383911
1.4003078937530518;1.2083901166915894
1.400536060333252;1.2082597017288208
1.400505781173706;1.2103486061096191
1.4003758430480957;1.2083795070648193
1.4004545211791992;1.20973801612854
1.4005916118621826;1.2108689546585083
1.4002442359924316;1.2095613479614258
1.4003956317901611;1.209737777709961
1.400559425354004;1.2086915969848633
1.4004064798355103;1.2112977504730225
1.4011046886444092;1.2108333110809326
1.400406002998352;1.2104688882827759
1.400510311126709;1.2104405164718628
1.4007790088653564;1.2120078802108765
1.400423288345337;1.2105129957199097
1.4005177021026611;1.2102819681167603
1.400536060333252;1.210139513015747
1.4006907939910889;1.209254503250122
1.400536060333252;1.209607720375061
1.4004244804382324;1.210914134979248
1.4003957509994507;1.2111265659332275
1.4007006883621216;1.20991849899292
1.4004859924316406;1.2108409404754639
1.4004859924316406;1.2088463306427002
1.4006080627441406;1.2088087797164917
1.4004244804382324;1.2086676359176636
1.4002745151519775;1.2111437320709229
1.4003758430480957;1.208951473236084
1.4005078077316284;1.212069034576416
1.4004545211791992;1.2094687223434448
1.4004771709442139;1.2099125385284424
1.4002745151519775;1.210433006286621
