TV;KL
1.9205154180526733;8.404333114624023
1.8801374435424805;8.392006874084473
1.8747172355651855;8.435745239257812
1.8403537273406982;7.918337821960449
1.816476821899414;7.719940185546875
1.8053683042526245;7.475418567657471
1.7609626054763794;6.863298416137695
1.7553112506866455;6.646073818206787
1.7205042839050293;6.268828392028809
1.694012999534607;6.053050994873047
1.6666927337646484;5.584779739379883
1.670400857925415;5.4216461181640625
1.6378979682922363;5.119568824768066
1.6225597858428955;4.9301910400390625
1.6010546684265137;4.819157600402832
1.5851244926452637;4.568218231201172
1.5773608684539795;4.483234405517578
1.5678856372833252;4.401968479156494
1.5422648191452026;4.17445182800293
1.5280869007110596;4.078908920288086
1.5256520509719849;4.061390399932861
1.5126054286956787;3.9096598625183105
1.5102872848510742;3.809187889099121
1.5004366636276245;3.7680881023406982
1.4905457496643066;3.72360897064209
1.463958740234375;3.4896867275238037
1.4783496856689453;3.535527229309082
1.4653527736663818;3.4834413528442383
1.4391957521438599;3.250080108642578
1.4423997402191162;3.283234119415283
1.431649923324585;3.180661678314209
1.422716498374939;3.122844696044922
1.4270093441009521;3.142155647277832
1.4075353145599365;2.9837989807128906
1.4233379364013672;3.0676605701446533
1.405123233795166;2.8655426502227783
1.3943965435028076;2.92107892036438
1.4023525714874268;2.9438958168029785
1.3861041069030762;2.7679615020751953
1.40019690990448;2.8911502361297607
1.3681888580322266;2.644850969314575
1.3743284940719604;2.714240550994873
1.3737614154815674;2.6444740295410156
1.3622698783874512;2.6070163249969482
1.3586173057556152;2.6289262771606445
1.352635383605957;2.5740268230438232
1.3408002853393555;2.552257537841797
1.355297565460205;2.5429635047912598
1.361917495727539;2.5833983421325684
1.3371217250823975;2.4726450443267822
1.3200538158416748;2.401885747909546
1.3235433101654053;2.3669776916503906
1.3438074588775635;2.499337911605835
1.3396090269088745;2.487138509750366
1.3204154968261719;2.403850555419922
1.3297884464263916;2.3615527153015137
1.3259551525115967;2.318645477294922
1.3052910566329956;2.2900242805480957
1.3052394390106201;2.260272979736328
1.294319987297058;2.214019536972046
1.2983713150024414;2.2335877418518066
1.2842323780059814;2.1790995597839355
1.2837575674057007;2.172776460647583
1.2778191566467285;2.182727336883545
1.2903661727905273;2.165968179702759
1.2776768207550049;2.1248791217803955
1.2740774154663086;2.120802879333496
1.2616753578186035;2.0488624572753906
1.2798758745193481;2.110780954360962
1.2657461166381836;2.061650276184082
1.2607929706573486;2.0232675075531006
1.259781837463379;1.9997330904006958
1.2719223499298096;2.0518407821655273
1.2659974098205566;2.0273351669311523
1.2509914636611938;1.9672722816467285
1.275054693222046;2.0533905029296875
1.2526280879974365;1.9707653522491455
1.2554583549499512;2.0120365619659424
1.2459735870361328;1.9071835279464722
1.2255637645721436;1.9008166790008545
1.2400994300842285;1.9104026556015015
1.2230684757232666;1.8837502002716064
1.237159252166748;1.891845703125
1.2414488792419434;1.902479887008667
1.2352324724197388;1.869516372680664
1.2174699306488037;1.852029800415039
1.2427798509597778;1.9153978824615479
1.2220335006713867;1.842109203338623
1.237450361251831;1.888200044631958
1.2350155115127563;1.8961396217346191
1.2377045154571533;1.835378646850586
1.224301815032959;1.8058593273162842
1.2345025539398193;1.8407089710235596
1.2412471771240234;1.888074517250061
1.2050127983093262;1.7959263324737549
1.2197935581207275;1.8113588094711304
1.2102866172790527;1.7626230716705322
1.2155992984771729;1.7606432437896729
1.212000846862793;1.7431018352508545
1.1921839714050293;1.7264684438705444
1.210721731185913;1.7247227430343628
1.2354917526245117;1.7819023132324219
1.2001676559448242;1.744757890701294
1.2031280994415283;1.729805588722229
1.1900858879089355;1.663862943649292
1.18361234664917;1.6594233512878418
1.1901929378509521;1.6996047496795654
1.169616937637329;1.6500604152679443
1.1935577392578125;1.6898090839385986
1.1850416660308838;1.6564290523529053
1.1883249282836914;1.6708552837371826
1.2127786874771118;1.7254862785339355
1.1775864362716675;1.6416287422180176
1.1961265802383423;1.6154825687408447
1.1819756031036377;1.6473326683044434
1.1724889278411865;1.6012287139892578
1.1815741062164307;1.6373379230499268
1.1823793649673462;1.6128398180007935
1.1816258430480957;1.5957591533660889
1.1819303035736084;1.6294934749603271
1.171114206314087;1.598278522491455
1.1756501197814941;1.5971710681915283
1.1641684770584106;1.5671296119689941
1.1678755283355713;1.5676428079605103
1.1696313619613647;1.5600987672805786
1.1705083847045898;1.5954174995422363
1.1596324443817139;1.5824743509292603
1.1679017543792725;1.5762293338775635
1.1599607467651367;1.558719515800476
1.1751973628997803;1.5473073720932007
1.1676065921783447;1.5796375274658203
1.1610922813415527;1.5452589988708496
1.1649088859558105;1.5611572265625
1.1555126905441284;1.5311448574066162
1.1659760475158691;1.5353529453277588
1.1471084356307983;1.5110045671463013
1.1537963151931763;1.517584204673767
1.1605523824691772;1.5272164344787598
1.174397587776184;1.5558462142944336
1.1497950553894043;1.4933948516845703
1.1583178043365479;1.5475144386291504
1.1593315601348877;1.5326886177062988
1.1519153118133545;1.5050913095474243
1.146938681602478;1.5031001567840576
1.1426324844360352;1.4431679248809814
1.1425219774246216;1.4931542873382568
1.1617012023925781;1.5034173727035522
1.149040937423706;1.5063066482543945
1.14969801902771;1.5043387413024902
1.1451159715652466;1.4866777658462524
1.1543138027191162;1.4640028476715088
1.1384717226028442;1.4458199739456177
1.1331875324249268;1.454622507095337
1.1427905559539795;1.4655250310897827
1.1418509483337402;1.4958930015563965
1.1547127962112427;1.4713977575302124
1.1412856578826904;1.4617347717285156
1.1358060836791992;1.4311871528625488
1.1298413276672363;1.417953610420227
1.1390655040740967;1.4566638469696045
1.1490886211395264;1.4675092697143555
1.1358165740966797;1.4295642375946045
1.1413307189941406;1.4318742752075195
1.1347627639770508;1.431417465209961
1.1282955408096313;1.3909293413162231
1.1241979598999023;1.4188899993896484
1.134998083114624;1.4027327299118042
1.1387624740600586;1.4312753677368164
1.1448757648468018;1.444541335105896
1.1275761127471924;1.4247769117355347
1.1304233074188232;1.413369059562683
1.1329199075698853;1.4040307998657227
1.129457712173462;1.399475336074829
1.1322433948516846;1.408935546875
1.1289864778518677;1.4079469442367554
1.1199820041656494;1.3765945434570312
1.1076127290725708;1.346129059791565
1.1263455152511597;1.3888399600982666
1.1184055805206299;1.3824810981750488
1.1197724342346191;1.370147943496704
1.1158733367919922;1.361975908279419
1.1196449995040894;1.3839424848556519
1.1191266775131226;1.370931625366211
1.1101295948028564;1.3504679203033447
1.1034411191940308;1.3502686023712158
1.0966150760650635;1.3253681659698486
1.1198620796203613;1.3654881715774536
1.1107659339904785;1.3497511148452759
1.1113548278808594;1.3499261140823364
1.1086620092391968;1.3354310989379883
1.1076350212097168;1.3530571460723877
1.1057755947113037;1.3249311447143555
1.104118824005127;1.3397037982940674
1.1115243434906006;1.3515148162841797
1.1157160997390747;1.362440824508667
1.1094505786895752;1.3369070291519165
1.0943435430526733;1.3133292198181152
1.1073983907699585;1.3419324159622192
1.1126407384872437;1.3410181999206543
1.1002237796783447;1.3138535022735596
1.090703010559082;1.313429594039917
1.1038427352905273;1.310510516166687
1.1130762100219727;1.319370985031128
1.0935040712356567;1.2840579748153687
1.1091595888137817;1.3339786529541016
1.0968141555786133;1.3062235116958618
1.0913822650909424;1.2876412868499756
1.089966893196106;1.3121325969696045
1.0938917398452759;1.289893388748169
1.1088879108428955;1.3174166679382324
1.1021558046340942;1.318281888961792
1.101553201675415;1.3234325647354126
1.1012285947799683;1.2980612516403198
1.095982551574707;1.303269624710083
1.0992051362991333;1.3206236362457275
1.108311653137207;1.3049243688583374
1.0998156070709229;1.311972975730896
1.080610990524292;1.2586681842803955
1.099179744720459;1.284912109375
1.0838596820831299;1.272707223892212
