iter,TV_gt,ULA,dilation,tempering,diffusion,DAZ
0,0.9275044,1.9760492444038391,,1.865156364440918,1.6831914901733398,1.7047884225845338
50,0.92624414,1.798823642730713,,1.7325469493865966,1.416777205467224,1.4462923765182496
100,0.92513275,1.7143568038940429,,1.7057393789291382,1.3561009883880615,1.3917249202728272
150,0.9277008,1.703472375869751,1.9999999205271404,1.6947548627853393,1.3415598154067994,1.371195340156555
200,0.92322457,1.698358964920044,2.0,1.6910152673721313,1.3311136960983276,1.3584079980850219
250,0.9307494,1.6960686683654784,1.9999983787536622,1.6871395111083984,1.314259648323059,1.3546832084655762
300,0.92753255,1.6944847583770752,1.9999065160751344,1.6852182149887085,1.3118561506271362,1.3466532707214356
350,0.9281683,1.6918330907821655,1.9980737686157226,1.6799474000930785,1.306345319747925,1.3426154375076294
400,0.92664117,1.6908028602600098,1.9817108869552613,1.6789199829101562,1.2992148399353027,1.3357517719268799
450,0.9282387,1.6923596382141113,1.9307777881622314,1.6771207571029663,1.3007847785949707,1.3390560865402221
500,0.9248285,1.6901169061660766,1.8568594217300416,1.6772108316421508,1.3021690368652343,1.3403982639312744
550,0.9270911,1.6899881601333617,1.7945200204849243,1.6749066352844237,1.2929150581359863,1.3373310565948484
600,0.9211175,1.6887322664260864,1.760080337524414,1.672456979751587,1.2912393093109131,1.333055353164673
650,0.9263401,1.6885600090026855,1.7419310569763184,1.6715279340744018,1.29293372631073,1.333761978149414
700,0.9320446,1.6886316537857056,1.7303231477737426,1.6722056865692139,1.289884376525879,1.3310887575149537
750,0.92695904,1.6883230924606323,1.7238758325576782,1.669736909866333,1.2857125520706176,1.3285085201263427
800,0.9280575,1.6864705562591553,1.7209908008575439,1.6704652070999146,1.2878710985183717,1.326735544204712
850,0.9288915,1.6872608423233033,1.7161088466644288,1.6701528787612916,1.2858737707138062,1.3323134183883667
900,0.92586386,1.686323595046997,1.7140109062194824,1.6669652462005615,1.2851701736450196,1.3217693567276
950,0.92125785,1.6861972570419312,1.7090618371963502,1.667597484588623,1.2843161344528198,1.328330898284912
1000,0.92258203,1.686720871925354,1.7079335927963257,1.667104959487915,1.2780763387680054,1.3274255514144897
1050,0.9247726,1.6860771417617797,1.7053627729415894,1.6659043788909913,1.2786157369613647,1.32795090675354
1100,0.92413634,1.685668158531189,1.704196286201477,1.6641577243804933,1.2753708362579346,1.320108127593994
1150,0.92820776,1.6858750104904174,1.7016432762145997,1.6642296075820924,1.2745642900466918,1.3215249300003051
1200,0.92803764,1.686631989479065,1.701825737953186,1.662350559234619,1.272667360305786,1.3179028749465942
1250,0.9218337,1.6834978580474853,1.7008047580718995,1.662986969947815,1.276492714881897,1.3207879066467285
1300,0.920574,1.68374445438385,1.6974565267562867,1.6618255615234374,1.2743682384490966,1.3186157941818237
1350,0.9258851,1.684761118888855,1.697227120399475,1.6610480546951294,1.271445369720459,1.322007989883423
1400,0.92451364,1.683903694152832,1.6964409351348877,1.659972882270813,1.2740265369415282,1.3211553335189818
1450,0.92014104,1.6827816486358642,1.6955259561538696,1.6594423055648804,1.2736684322357177,1.3170496225357056
1500,0.92418003,1.6840513467788696,1.6938060760498046,1.6564184427261353,1.2831560134887696,1.3202053546905517
1550,0.92581654,1.6801854610443114,1.6926172494888305,1.6569127559661865,1.2721556901931763,1.3163122177124023
1600,0.9201578,1.6821357250213622,1.6888943910598755,1.6587206363677978,1.2725067377090453,1.313180136680603
1650,0.9309654,1.6831515312194825,1.6889477729797364,1.657035517692566,1.2690279483795166,1.3157037019729614
1700,0.9277995,1.6812410593032836,1.688033366203308,1.6552968978881837,1.2748460292816162,1.3192764282226563
1750,0.9216129,1.6820737361907958,1.6873724222183228,1.6565099239349366,1.269044780731201,1.3143070936203003
1800,0.9276376,1.6806296586990357,1.686112403869629,1.6551761865615844,1.2686529636383057,1.3122115850448608
1850,0.9252372,1.6812983751296997,1.6850458145141602,1.6530529022216798,1.2678471565246583,1.3144095182418822
1900,0.9207907,1.6810022592544556,1.6858184814453125,1.651758599281311,1.2730717182159423,1.3160367727279663
1950,0.92348397,1.68058123588562,1.6824090003967285,1.6521425008773805,1.270376944541931,1.316816520690918
2000,0.92463225,1.6798013687133788,1.6822287082672118,1.652189064025879,1.2680412530899048,1.3100370645523072
2050,0.92689764,1.680540132522583,1.6827370405197144,1.6505190849304199,1.2658330202102661,1.3107367515563966
2100,0.92926866,1.680045771598816,1.6819526195526122,1.6482201099395752,1.262729811668396,1.3102758646011352
2150,0.9249855,1.680697464942932,1.680558156967163,1.6508008003234864,1.2665536642074584,1.3076467514038086
2200,0.927256,1.6797281503677368,1.6781320571899414,1.6491092205047608,1.2688629627227783,1.3074321031570435
2250,0.92969847,1.680432343482971,1.6800389528274535,1.6488297700881958,1.2647181034088135,1.3082208633422852
2300,0.92693555,1.6805565357208252,1.6797849178314208,1.6479088068008423,1.2618650436401366,1.3084954500198365
2350,0.9200417,1.6790478229522705,1.6789498329162598,1.6461482524871827,1.2613585233688354,1.3102397918701172
2400,0.9278227,1.679266667366028,1.6778219223022461,1.6450320482254028,1.2654288291931153,1.3123969316482544
2450,0.9260715,1.680341124534607,1.6767016887664794,1.6454240322113036,1.2600189208984376,1.3147107124328614
